rhinopithecus_bieti ENSRBIG00000016916
rhinopithecus_roxellana ENSRROG00000010610
colobus_angolensis_palliatus ENSCANG00000012928
piliocolobus_tephrosceles ENSPTEG00000022284
macaca_fascicularis ENSMFAG00000013002
macaca_nemestrina ENSMNEG00000005879
cercocebus_atys ENSCATG00000019609
mandrillus_leucophaeus ENSMLEG00000000943
papio_anubis ENSPANG00000029967
theropithecus_gelada ENSTGEG00000017290
nomascus_leucogenys ENSNLEG00000031164
gorilla_gorilla ENSGGOG00000041173
nomascus_leucogenys ENSNLEG00000032250
piliocolobus_tephrosceles ENSPTEG00000021930
prolemur_simus ENSPSMG00000007732
