heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003988
octodon_degus ENSODEG00000018731
marmota_marmota_marmota ENSMMMG00000017097
urocitellus_parryii ENSUPAG00010012331
chlorocebus_sabaeus ENSCSAG00000010328
macaca_mulatta ENSMMUG00000039070
theropithecus_gelada ENSTGEG00000008451
piliocolobus_tephrosceles ENSPTEG00000037516
pongo_abelii ENSPPYG00000004200
callithrix_jacchus ENSCJAG00000038843
saimiri_boliviensis_boliviensis ENSSBOG00000023486
aotus_nancymaae ENSANAG00000025029
castor_canadensis ENSCCNG00000025370
nannospalax_galili ENSNGAG00000021065
microcebus_murinus ENSMICG00000036709
prolemur_simus ENSPSMG00000016228
felis_catus ENSFCAG00000043997
canis_lupus_dingo ENSCAFG00020002965
pteropus_vampyrus ENSPVAG00000013698
bison_bison_bison ENSBBBG00000013194
bos_taurus ENSBTAG00000018451
procavia_capensis ENSPCAG00000001007
dasypus_novemcinctus ENSDNOG00000033396
