pundamilia_nyererei ENSPNYG00000015962
maylandia_zebra ENSMZEG00005007508
astatotilapia_calliptera ENSACLG00000027912
haplochromis_burtoni ENSHBUG00000007072
oreochromis_niloticus ENSONIG00000012254
neolamprologus_brichardi ENSNBRG00000007049
amphilophus_citrinellus ENSACIG00000001277
monopterus_albus ENSMALG00000010625
seriola_dumerili ENSSDUG00000021826
seriola_lalandi_dorsalis ENSSLDG00000012582
scophthalmus_maximus ENSSMAG00000007147
anabas_testudineus ENSATEG00000003944
amphiprion_ocellaris ENSAOCG00000024594
amphiprion_percula ENSAPEG00000011160
acanthochromis_polyacanthus ENSAPOG00000012348
stegastes_partitus ENSSPAG00000009171
takifugu_rubripes ENSTRUG00000007251
tetraodon_nigroviridis ENSTNIG00000014521
mola_mola ENSMMOG00000006027
labrus_bergylta ENSLBEG00000025530
gasterosteus_aculeatus ENSGACG00000015172
mastacembelus_armatus ENSMAMG00000021787
xiphophorus_maculatus ENSXMAG00000028772
xiphophorus_couchianus ENSXCOG00000020271
gambusia_affinis ENSGAFG00000005434
poecilia_latipinna ENSPLAG00000014083
poecilia_reticulata ENSPREG00000010751
poecilia_formosa ENSPFOG00000005122
poecilia_mexicana ENSPMEG00000006854
fundulus_heteroclitus ENSFHEG00000020855
cyprinodon_variegatus ENSCVAG00000014623
kryptolebias_marmoratus ENSKMAG00000011926
oryzias_latipes_asm223469v1 ENSORLG00015015002
oryzias_latipes_asm223467v1 ENSORLG00000005171
oryzias_latipes_asm223471v1 ENSORLG00020016717
oryzias_melastigma ENSOMEG00000006938
cynoglossus_semilaevis ENSCSEG00000010162
hippocampus_comes ENSHCOG00000009716
hippocampus_comes ENSHCOG00000009726
periophthalmus_magnuspinnatus ENSPMGG00000023901
gadus_morhua ENSGMOG00000018850
esox_lucius ENSELUG00000013861
pygocentrus_nattereri ENSPNAG00000015885
astyanax_mexicanus ENSAMXG00000033225
ictalurus_punctatus ENSIPUG00000012220
danio_rerio ENSDARG00000031632
paramormyrops_kingsleyae ENSPKIG00000019509
scleropages_formosus ENSSFOG00015002063
lepisosteus_oculatus ENSLOCG00000010623
castor_canadensis ENSCCNG00000001243
dipodomys_ordii ENSDORG00000014722
