ictidomys_tridecemlineatus ENSSTOG00000030365
spermophilus_dauricus ENSSDAG00000011765
urocitellus_parryii ENSUPAG00010000735
marmota_marmota_marmota ENSMMMG00000009119
carlito_syrichta ENSTSYG00000036209
prolemur_simus ENSPSMG00000023938
propithecus_coquereli ENSPCOG00000013118
microcebus_murinus ENSMICG00000046674
otolemur_garnettii ENSOGAG00000033858
theropithecus_gelada ENSTGEG00000004324
cercocebus_atys ENSCATG00000038236
chlorocebus_sabaeus ENSCSAG00000005085
macaca_nemestrina ENSMNEG00000041103
macaca_fascicularis ENSMFAG00000028934
papio_anubis ENSPANG00000020028
mandrillus_leucophaeus ENSMLEG00000043933
rhinopithecus_roxellana ENSRROG00000034195
rhinopithecus_bieti ENSRBIG00000044596
colobus_angolensis_palliatus ENSCANG00000029776
piliocolobus_tephrosceles ENSPTEG00000036907
pan_paniscus ENSPPAG00000036742
pan_troglodytes ENSPTRG00000047450
homo_sapiens ENSG00000214140
gorilla_gorilla ENSGGOG00000001387
nomascus_leucogenys ENSNLEG00000002492
saimiri_boliviensis_boliviensis ENSSBOG00000029196
callithrix_jacchus ENSCJAG00000045078
cebus_capucinus_imitator ENSCCAG00000027568
aotus_nancymaae ENSANAG00000018825
dipodomys_ordii ENSDORG00000030232
castor_canadensis ENSCCNG00000019262
cricetulus_griseus_crigri_1.0 ENSCGRG00000014253
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008697
mesocricetus_auratus ENSMAUG00000005169
microtus_ochrogaster ENSMOCG00000013636
peromyscus_maniculatus_bairdii ENSPEMG00000027746
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075410
rattus_norvegicus ENSRNOG00000043417
meriones_unguiculatus ENSMUGG00000021527
nannospalax_galili ENSNGAG00000020018
jaculus_jaculus ENSJJAG00000012685
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015727
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008345
fukomys_damarensis ENSFDAG00000012675
chinchilla_lanigera ENSCLAG00000009358
cavia_porcellus ENSCPOG00000031923
cavia_aperea ENSCAPG00000011217
bison_bison_bison ENSBBBG00000019742
bos_mutus ENSBMUG00000011034
ovis_aries ENSOARG00000006890
capra_hircus ENSCHIG00000025107
sus_scrofa ENSSSCG00000028604
equus_asinus_asinus ENSEASG00005004259
equus_caballus ENSECAG00000029445
myotis_lucifugus ENSMLUG00000026991
canis_lupus_familiaris ENSCAFG00000031593
canis_lupus_dingo ENSCAFG00020006203
vulpes_vulpes ENSVVUG00000015160
neovison_vison ENSNVIG00000012941
panthera_tigris_altaica ENSPTIG00000015115
panthera_pardus ENSPPRG00000009112
felis_catus ENSFCAG00000046670
