fundulus_heteroclitus ENSFHEG00000023270
cyprinodon_variegatus ENSCVAG00000011583
xiphophorus_couchianus ENSXCOG00000017572
xiphophorus_maculatus ENSXMAG00000008073
gambusia_affinis ENSGAFG00000011739
poecilia_mexicana ENSPMEG00000005694
poecilia_formosa ENSPFOG00000013842
poecilia_reticulata ENSPREG00000010079
kryptolebias_marmoratus ENSKMAG00000010062
oryzias_latipes_asm223471v1 ENSORLG00020011803
oryzias_latipes_asm223467v1 ENSORLG00000002317
oryzias_latipes_asm223469v1 ENSORLG00015004709
oryzias_melastigma ENSOMEG00000019871
monopterus_albus ENSMALG00000007494
mastacembelus_armatus ENSMAMG00000021877
tetraodon_nigroviridis ENSTNIG00000014933
takifugu_rubripes ENSTRUG00000009514
gasterosteus_aculeatus ENSGACG00000009821
scophthalmus_maximus ENSSMAG00000008923
cynoglossus_semilaevis ENSCSEG00000021601
labrus_bergylta ENSLBEG00000000735
mola_mola ENSMMOG00000016977
seriola_lalandi_dorsalis ENSSLDG00000018349
seriola_dumerili ENSSDUG00000022184
amphiprion_ocellaris ENSAOCG00000003592
amphiprion_percula ENSAPEG00000000747
acanthochromis_polyacanthus ENSAPOG00000017876
stegastes_partitus ENSSPAG00000007962
astatotilapia_calliptera ENSACLG00000024824
maylandia_zebra ENSMZEG00005023130
haplochromis_burtoni ENSHBUG00000008811
pundamilia_nyererei ENSPNYG00000014064
neolamprologus_brichardi ENSNBRG00000004618
oreochromis_niloticus ENSONIG00000000710
amphilophus_citrinellus ENSACIG00000007268
anabas_testudineus ENSATEG00000022847
hippocampus_comes ENSHCOG00000003197
periophthalmus_magnuspinnatus ENSPMGG00000006823
gadus_morhua ENSGMOG00000004695
esox_lucius ENSELUG00000020445
astyanax_mexicanus ENSAMXG00000011735
pygocentrus_nattereri ENSPNAG00000016923
ictalurus_punctatus ENSIPUG00000012866
danio_rerio ENSDARG00000001803
scleropages_formosus ENSSFOG00015007302
oreochromis_niloticus ENSONIG00000011568
neolamprologus_brichardi ENSNBRG00000011139
anabas_testudineus ENSATEG00000019921
danio_rerio ENSDARG00000010296
scleropages_formosus ENSSFOG00015013817
lepisosteus_oculatus ENSLOCG00000011829
