mustela_putorius_furo ENSMPUG00000002676
neovison_vison ENSNVIG00000020692
ailuropoda_melanoleuca ENSAMEG00000008862
canis_lupus_familiaris ENSCAFG00000023850
canis_lupus_dingo ENSCAFG00020004749
vulpes_vulpes ENSVVUG00000019211
panthera_pardus ENSPPRG00000019565
felis_catus ENSFCAG00000022460
panthera_tigris_altaica ENSPTIG00000007348
equus_caballus ENSECAG00000015213
equus_asinus_asinus ENSEASG00005019909
capra_hircus ENSCHIG00000021836
ovis_aries ENSOARG00000014812
bos_taurus ENSBTAG00000023007
bos_mutus ENSBMUG00000001798
bison_bison_bison ENSBBBG00000006813
sus_scrofa ENSSSCG00000024860
myotis_lucifugus ENSMLUG00000030413
dipodomys_ordii ENSDORG00000025606
castor_canadensis ENSCCNG00000010185
peromyscus_maniculatus_bairdii ENSPEMG00000017870
microtus_ochrogaster ENSMOCG00000021314
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000305
cricetulus_griseus_crigri_1.0 ENSCGRG00000009076
cricetulus_griseus_crigri-picr ENSCGRG00015018227
mesocricetus_auratus ENSMAUG00000011759
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016272
mus_spicilegus ENSMSIG00000004960
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033255
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015459
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030875
rattus_norvegicus ENSRNOG00000029979
rattus_norvegicus ENSRNOG00000054815
rattus_norvegicus ENSRNOG00000058171
meriones_unguiculatus ENSMUGG00000009994
nannospalax_galili ENSNGAG00000011999
jaculus_jaculus ENSJJAG00000016126
chinchilla_lanigera ENSCLAG00000009100
cavia_porcellus ENSCPOG00000023038
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016942
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009410
fukomys_damarensis ENSFDAG00000005840
marmota_marmota_marmota ENSMMMG00000024429
urocitellus_parryii ENSUPAG00010004753
spermophilus_dauricus ENSSDAG00000019525
ictidomys_tridecemlineatus ENSSTOG00000021638
oryctolagus_cuniculus ENSOCUG00000022793
otolemur_garnettii ENSOGAG00000025279
prolemur_simus ENSPSMG00000010840
loxodonta_africana ENSLAFG00000032774
dasypus_novemcinctus ENSDNOG00000033958
