heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008089
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017534
chinchilla_lanigera ENSCLAG00000009476
fukomys_damarensis ENSFDAG00000016891
cavia_porcellus ENSCPOG00000030794
cavia_aperea ENSCAPG00000014144
octodon_degus ENSODEG00000003949
spermophilus_dauricus ENSSDAG00000020517
ictidomys_tridecemlineatus ENSSTOG00000031708
urocitellus_parryii ENSUPAG00010002843
marmota_marmota_marmota ENSMMMG00000002405
nannospalax_galili ENSNGAG00000018137
mus_spicilegus ENSMSIG00000024973
cricetulus_griseus_crigri_1.0 ENSCGRG00000009844
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023585
cricetulus_griseus_crigri-picr ENSCGRG00015022479
microtus_ochrogaster ENSMOCG00000018225
peromyscus_maniculatus_bairdii ENSPEMG00000021571
meriones_unguiculatus ENSMUGG00000016436
jaculus_jaculus ENSJJAG00000020462
dipodomys_ordii ENSDORG00000024608
loxodonta_africana ENSLAFG00000026125
