ochotona_princeps ENSOPRG00000014099
oryctolagus_cuniculus ENSOCUG00000026144
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013739
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001339
fukomys_damarensis ENSFDAG00000008833
chinchilla_lanigera ENSCLAG00000005529
octodon_degus ENSODEG00000014279
cavia_aperea ENSCAPG00000004176
cavia_porcellus ENSCPOG00000034190
tupaia_belangeri ENSTBEG00000007499
carlito_syrichta ENSTSYG00000030124
erinaceus_europaeus ENSEEUG00000004614
dipodomys_ordii ENSDORG00000016101
propithecus_coquereli ENSPCOG00000023480
microcebus_murinus ENSMICG00000042312
prolemur_simus ENSPSMG00000026020
otolemur_garnettii ENSOGAG00000007542
cebus_capucinus_imitator ENSCCAG00000030571
saimiri_boliviensis_boliviensis ENSSBOG00000028336
callithrix_jacchus ENSCJAG00000004835
aotus_nancymaae ENSANAG00000031883
homo_sapiens ENSG00000182950
gorilla_gorilla ENSGGOG00000015669
pan_troglodytes ENSPTRG00000007306
pan_paniscus ENSPPAG00000038972
pongo_abelii ENSPPYG00000006667
nomascus_leucogenys ENSNLEG00000013375
theropithecus_gelada ENSTGEG00000028567
cercocebus_atys ENSCATG00000009884
mandrillus_leucophaeus ENSMLEG00000028346
chlorocebus_sabaeus ENSCSAG00000014605
macaca_nemestrina ENSMNEG00000040678
macaca_fascicularis ENSMFAG00000038366
papio_anubis ENSPANG00000024760
piliocolobus_tephrosceles ENSPTEG00000011884
piliocolobus_tephrosceles ENSPTEG00000011836
colobus_angolensis_palliatus ENSCANG00000035891
rhinopithecus_bieti ENSRBIG00000040574
rhinopithecus_roxellana ENSRROG00000000443
spermophilus_dauricus ENSSDAG00000015589
urocitellus_parryii ENSUPAG00010005848
ictidomys_tridecemlineatus ENSSTOG00000021730
marmota_marmota_marmota ENSMMMG00000002092
castor_canadensis ENSCCNG00000016076
mus_spicilegus ENSMSIG00000009373
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045620
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033395
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032255
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015122
rattus_norvegicus ENSRNOG00000027109
meriones_unguiculatus ENSMUGG00000024297
microtus_ochrogaster ENSMOCG00000021120
peromyscus_maniculatus_bairdii ENSPEMG00000001583
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006073
cricetulus_griseus_crigri-picr ENSCGRG00015025380
cricetulus_griseus_crigri_1.0 ENSCGRG00000002244
mesocricetus_auratus ENSMAUG00000016497
nannospalax_galili ENSNGAG00000020969
jaculus_jaculus ENSJJAG00000014762
ursus_americanus ENSUAMG00000022727
ursus_maritimus ENSUMAG00000003717
ailuropoda_melanoleuca ENSAMEG00000008335
neovison_vison ENSNVIG00000013635
mustela_putorius_furo ENSMPUG00000017328
canis_lupus_dingo ENSCAFG00020003747
canis_lupus_familiaris ENSCAFG00000018055
vulpes_vulpes ENSVVUG00000019640
panthera_pardus ENSPPRG00000000306
panthera_tigris_altaica ENSPTIG00000005033
felis_catus ENSFCAG00000012419
equus_caballus ENSECAG00000008694
equus_asinus_asinus ENSEASG00005015688
pteropus_vampyrus ENSPVAG00000010039
myotis_lucifugus ENSMLUG00000015002
bos_mutus ENSBMUG00000001960
bos_taurus ENSBTAG00000019506
bison_bison_bison ENSBBBG00000000095
ovis_aries ENSOARG00000001855
capra_hircus ENSCHIG00000014166
sus_scrofa ENSSSCG00000001879
loxodonta_africana ENSLAFG00000022580
procavia_capensis ENSPCAG00000012093
dasypus_novemcinctus ENSDNOG00000033230
phascolarctos_cinereus ENSPCIG00000007868
monodelphis_domestica ENSMODG00000008815
sarcophilus_harrisii ENSSHAG00000008350
ornithorhynchus_anatinus ENSOANG00000011979
gopherus_agassizii ENSGAGG00000025817
chelonoidis_abingdonii ENSCABG00000017806
chrysemys_picta_bellii ENSCPBG00000022183
pelodiscus_sinensis ENSPSIG00000014396
crocodylus_porosus ENSCPRG00005007966
pogona_vitticeps ENSPVIG00000007227
anolis_carolinensis ENSACAG00000016261
notechis_scutatus ENSNSUG00000014748
salvator_merianae ENSSMRG00000007397
