fundulus_heteroclitus ENSFHEG00000004087
gambusia_affinis ENSGAFG00000010081
astatotilapia_calliptera ENSACLG00000020493
maylandia_zebra ENSMZEG00005017592
haplochromis_burtoni ENSHBUG00000023771
pundamilia_nyererei ENSPNYG00000021788
neolamprologus_brichardi ENSNBRG00000005155
mola_mola ENSMMOG00000004889
xiphophorus_maculatus ENSXMAG00000021408
xiphophorus_couchianus ENSXCOG00000005349
poecilia_reticulata ENSPREG00000016775
cyprinodon_variegatus ENSCVAG00000003986
kryptolebias_marmoratus ENSKMAG00000005444
labrus_bergylta ENSLBEG00000025752
stegastes_partitus ENSSPAG00000003964
amphilophus_citrinellus ENSACIG00000003299
cynoglossus_semilaevis ENSCSEG00000008754
scophthalmus_maximus ENSSMAG00000019510
takifugu_rubripes ENSTRUG00000023196
amphiprion_percula ENSAPEG00000001610
amphiprion_ocellaris ENSAOCG00000017067
acanthochromis_polyacanthus ENSAPOG00000021217
oryzias_latipes_asm223469v1 ENSORLG00015020784
oryzias_latipes_asm223471v1 ENSORLG00020003541
oryzias_latipes_asm223467v1 ENSORLG00000024847
oryzias_melastigma ENSOMEG00000015091
seriola_dumerili ENSSDUG00000004625
seriola_lalandi_dorsalis ENSSLDG00000011794
periophthalmus_magnuspinnatus ENSPMGG00000016630
hippocampus_comes ENSHCOG00000016931
esox_lucius ENSELUG00000009147
