cavia_porcellus ENSCPOG00000038636
cricetulus_griseus_crigri-picr ENSCGRG00015015113
oryctolagus_cuniculus ENSOCUG00000021853
ochotona_princeps ENSOPRG00000001907
microcebus_murinus ENSMICG00000027086
otolemur_garnettii ENSOGAG00000017092
tupaia_belangeri ENSTBEG00000001079
equus_asinus_asinus ENSEASG00005000797
equus_caballus ENSECAG00000030878
pteropus_vampyrus ENSPVAG00000009189
sus_scrofa ENSSSCG00000012152
vicugna_pacos ENSVPAG00000003425
ovis_aries ENSOARG00000013513
capra_hircus ENSCHIG00000007744
bos_mutus ENSBMUG00000008850
bos_taurus ENSBTAG00000017649
tursiops_truncatus ENSTTRG00000005666
ursus_maritimus ENSUMAG00000008787
ursus_americanus ENSUAMG00000000947
ailuropoda_melanoleuca ENSAMEG00000002958
neovison_vison ENSNVIG00000020836
mustela_putorius_furo ENSMPUG00000002840
canis_lupus_familiaris ENSCAFG00000031673
felis_catus ENSFCAG00000043428
panthera_tigris_altaica ENSPTIG00000016628
erinaceus_europaeus ENSEEUG00000000991
sorex_araneus ENSSARG00000009483
myotis_lucifugus ENSMLUG00000029397
dasypus_novemcinctus ENSDNOG00000015429
loxodonta_africana ENSLAFG00000017074
