astatotilapia_calliptera ENSACLG00000014137
maylandia_zebra ENSMZEG00005018235
neolamprologus_brichardi ENSNBRG00000013271
acanthochromis_polyacanthus ENSAPOG00000023232
amphilophus_citrinellus ENSACIG00000011509
mastacembelus_armatus ENSMAMG00000010123
esox_lucius ENSELUG00000011837
scleropages_formosus ENSSFOG00015002560
gallus_gallus ENSGALG00000050081
coturnix_japonica ENSCJPG00005016542
numida_meleagris ENSNMEG00000010413
lepidothrix_coronata ENSLCOG00000012540
rhinopithecus_roxellana ENSRROG00000041984
gorilla_gorilla ENSGGOG00000040840
macaca_nemestrina ENSMNEG00000036604
aotus_nancymaae ENSANAG00000025908
capra_hircus ENSCHIG00000009852
cebus_capucinus_imitator ENSCCAG00000028577
saimiri_boliviensis_boliviensis ENSSBOG00000035616
jaculus_jaculus ENSJJAG00000020525
cyanistes_caeruleus ENSCCEG00000010736
apteryx_rowi ENSARWG00000003686
