meriones_unguiculatus ENSMUGG00000015930
rattus_norvegicus ENSRNOG00000058863
urocitellus_parryii ENSUPAG00010013002
urocitellus_parryii ENSUPAG00010004985
spermophilus_dauricus ENSSDAG00000023086
microcebus_murinus ENSMICG00000028258
propithecus_coquereli ENSPCOG00000014926
prolemur_simus ENSPSMG00000001276
theropithecus_gelada ENSTGEG00000019231
cercocebus_atys ENSCATG00000035632
macaca_mulatta ENSMMUG00000000101
macaca_fascicularis ENSMFAG00000001974
mandrillus_leucophaeus ENSMLEG00000044005
piliocolobus_tephrosceles ENSPTEG00000035653
pan_troglodytes ENSPTRG00000052594
gorilla_gorilla ENSGGOG00000041449
nomascus_leucogenys ENSNLEG00000029764
cebus_capucinus_imitator ENSCCAG00000032182
cebus_capucinus_imitator ENSCCAG00000023669
macaca_fascicularis ENSMFAG00000034478
macaca_nemestrina ENSMNEG00000029915
macaca_mulatta ENSMMUG00000044360
papio_anubis ENSPANG00000035326
colobus_angolensis_palliatus ENSCANG00000010098
rhinopithecus_roxellana ENSRROG00000042343
bos_mutus ENSBMUG00000016718
capra_hircus ENSCHIG00000027122
sus_scrofa ENSSSCG00000037936
panthera_tigris_altaica ENSPTIG00000021010
panthera_pardus ENSPPRG00000008842
felis_catus ENSFCAG00000032554
canis_lupus_dingo ENSCAFG00020008866
vulpes_vulpes ENSVVUG00000014026
vulpes_vulpes ENSVVUG00000025120
panthera_pardus ENSPPRG00000011468
neovison_vison ENSNVIG00000016233
salvator_merianae ENSSMRG00000015681
salvator_merianae ENSSMRG00000019866
salvator_merianae ENSSMRG00000011976
chrysemys_picta_bellii ENSCPBG00000003660
stegastes_partitus ENSSPAG00000007530
