neolamprologus_brichardi ENSNBRG00000008311
cynoglossus_semilaevis ENSCSEG00000015303
mastacembelus_armatus ENSMAMG00000008191
gasterosteus_aculeatus ENSGACG00000012864
gambusia_affinis ENSGAFG00000004998
xiphophorus_couchianus ENSXCOG00000015606
gasterosteus_aculeatus ENSGACG00000015095
gasterosteus_aculeatus ENSGACG00000012862
haplochromis_burtoni ENSHBUG00000011971
hippocampus_comes ENSHCOG00000007734
periophthalmus_magnuspinnatus ENSPMGG00000008535
gadus_morhua ENSGMOG00000007637
lepisosteus_oculatus ENSLOCG00000003591
