chrysemys_picta_bellii ENSCPBG00000000449
chelonoidis_abingdonii ENSCABG00000018707
pelodiscus_sinensis ENSPSIG00000003785
gallus_gallus ENSGALG00000017024
coturnix_japonica ENSCJPG00005019814
meleagris_gallopavo ENSMGAG00000015037
numida_meleagris ENSNMEG00000008778
anser_brachyrhynchus ENSABRG00000005006
anas_platyrhynchos_platyrhynchos ENSAPLG00000005738
lonchura_striata_domestica ENSLSDG00000011710
taeniopygia_guttata ENSTGUG00000012048
serinus_canaria ENSSCAG00000012906
zonotrichia_albicollis ENSZALG00000003724
junco_hyemalis ENSJHYG00000016049
ficedula_albicollis ENSFALG00000008551
cyanistes_caeruleus ENSCCEG00000010299
parus_major ENSPMJG00000014965
lepidothrix_coronata ENSLCOG00000007384
manacus_vitellinus ENSMVIG00005008449
calidris_pugnax ENSCPUG00000013100
calidris_pygmaea ENSCPGG00000018802
apteryx_owenii ENSAOWG00000011215
apteryx_haastii ENSAHAG00000013903
apteryx_rowi ENSARWG00000011793
dromaius_novaehollandiae ENSDNVG00000013930
nothoprocta_perdicaria ENSNPEG00000006210
anolis_carolinensis ENSACAG00000016818
pogona_vitticeps ENSPVIG00000001962
salvator_merianae ENSSMRG00000005715
sphenodon_punctatus ENSSPUG00000009135
notechis_scutatus ENSNSUG00000003241
notechis_scutatus ENSNSUG00000001016
crocodylus_porosus ENSCPRG00005003345
phascolarctos_cinereus ENSPCIG00000007151
notamacropus_eugenii ENSMEUG00000015675
sarcophilus_harrisii ENSSHAG00000010217
cricetulus_griseus_crigri-picr ENSCGRG00015022182
cricetulus_griseus_crigri_1.0 ENSCGRG00000005137
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004635
mesocricetus_auratus ENSMAUG00000001969
microtus_ochrogaster ENSMOCG00000012736
peromyscus_maniculatus_bairdii ENSPEMG00000016252
mus_spicilegus ENSMSIG00000022572
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032006
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031478
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030893
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021358
rattus_norvegicus ENSRNOG00000012757
meriones_unguiculatus ENSMUGG00000025250
dipodomys_ordii ENSDORG00000002475
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011968
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009843
fukomys_damarensis ENSFDAG00000006460
chinchilla_lanigera ENSCLAG00000006532
octodon_degus ENSODEG00000001087
cavia_porcellus ENSCPOG00000005021
cavia_aperea ENSCAPG00000011720
nannospalax_galili ENSNGAG00000005781
jaculus_jaculus ENSJJAG00000001167
castor_canadensis ENSCCNG00000014898
marmota_marmota_marmota ENSMMMG00000022848
spermophilus_dauricus ENSSDAG00000003627
ictidomys_tridecemlineatus ENSSTOG00000010383
urocitellus_parryii ENSUPAG00010001209
oryctolagus_cuniculus ENSOCUG00000017727
oryctolagus_cuniculus ENSOCUG00000009293
ochotona_princeps ENSOPRG00000013489
tupaia_belangeri ENSTBEG00000006797
pan_troglodytes ENSPTRG00000005899
pan_paniscus ENSPPAG00000037532
homo_sapiens ENSG00000136098
gorilla_gorilla ENSGGOG00000013001
pongo_abelii ENSPPYG00000005388
nomascus_leucogenys ENSNLEG00000004000
piliocolobus_tephrosceles ENSPTEG00000032592
colobus_angolensis_palliatus ENSCANG00000034012
rhinopithecus_roxellana ENSRROG00000003342
rhinopithecus_bieti ENSRBIG00000023818
cercocebus_atys ENSCATG00000044102
mandrillus_leucophaeus ENSMLEG00000043270
papio_anubis ENSPANG00000007571
macaca_fascicularis ENSMFAG00000035919
macaca_nemestrina ENSMNEG00000000828
macaca_mulatta ENSMMUG00000016530
theropithecus_gelada ENSTGEG00000006934
chlorocebus_sabaeus ENSCSAG00000017674
cebus_capucinus_imitator ENSCCAG00000034558
saimiri_boliviensis_boliviensis ENSSBOG00000000400
aotus_nancymaae ENSANAG00000027992
carlito_syrichta ENSTSYG00000000998
prolemur_simus ENSPSMG00000008976
microcebus_murinus ENSMICG00000005281
otolemur_garnettii ENSOGAG00000008424
erinaceus_europaeus ENSEEUG00000008906
sorex_araneus ENSSARG00000005337
equus_caballus ENSECAG00000021688
equus_asinus_asinus ENSEASG00005017828
myotis_lucifugus ENSMLUG00000013322
pteropus_vampyrus ENSPVAG00000013890
capra_hircus ENSCHIG00000021662
ovis_aries ENSOARG00000009224
bos_mutus ENSBMUG00000017521
bos_taurus ENSBTAG00000020612
bison_bison_bison ENSBBBG00000015553
sus_scrofa ENSSSCG00000009379
vicugna_pacos ENSVPAG00000007084
ursus_maritimus ENSUMAG00000019391
ursus_americanus ENSUAMG00000022815
ailuropoda_melanoleuca ENSAMEG00000011839
mustela_putorius_furo ENSMPUG00000017997
neovison_vison ENSNVIG00000012453
panthera_tigris_altaica ENSPTIG00000014299
panthera_pardus ENSPPRG00000020652
felis_catus ENSFCAG00000003712
loxodonta_africana ENSLAFG00000000026
echinops_telfairi ENSETEG00000018413
procavia_capensis ENSPCAG00000013654
dasypus_novemcinctus ENSDNOG00000018570
dasypus_novemcinctus ENSDNOG00000038478
choloepus_hoffmanni ENSCHOG00000010852
ornithorhynchus_anatinus ENSOANG00000015521
ornithorhynchus_anatinus ENSOANG00000019905
xenopus_tropicalis ENSXETG00000020709
latimeria_chalumnae ENSLACG00000003559
takifugu_rubripes ENSTRUG00000014218
tetraodon_nigroviridis ENSTNIG00000019035
mola_mola ENSMMOG00000000229
cynoglossus_semilaevis ENSCSEG00000006988
poecilia_formosa ENSPFOG00000006078
poecilia_mexicana ENSPMEG00000009318
poecilia_latipinna ENSPLAG00000011034
poecilia_reticulata ENSPREG00000014339
xiphophorus_maculatus ENSXMAG00000007407
gambusia_affinis ENSGAFG00000020330
