chrysemys_picta_bellii ENSCPBG00000012010
gopherus_agassizii ENSGAGG00000009458
chelonoidis_abingdonii ENSCABG00000022499
crocodylus_porosus ENSCPRG00005009398
apteryx_owenii ENSAOWG00000014953
apteryx_rowi ENSARWG00000003358
apteryx_haastii ENSAHAG00000004005
dromaius_novaehollandiae ENSDNVG00000014716
nothoprocta_perdicaria ENSNPEG00000005697
anser_brachyrhynchus ENSABRG00000002086
anas_platyrhynchos_platyrhynchos ENSAPLG00000013343
calidris_pugnax ENSCPUG00000008223
calidris_pygmaea ENSCPGG00000000204
meleagris_gallopavo ENSMGAG00000001953
gallus_gallus ENSGALG00000031551
numida_meleagris ENSNMEG00000011369
coturnix_japonica ENSCJPG00005004867
parus_major ENSPMJG00000012324
cyanistes_caeruleus ENSCCEG00000019969
manacus_vitellinus ENSMVIG00005010358
lepidothrix_coronata ENSLCOG00000009104
zonotrichia_albicollis ENSZALG00000013692
junco_hyemalis ENSJHYG00000013673
lonchura_striata_domestica ENSLSDG00000001765
ficedula_albicollis ENSFALG00000011706
serinus_canaria ENSSCAG00000015961
melopsittacus_undulatus ENSMUNG00000015033
anolis_carolinensis ENSACAG00000009139
notechis_scutatus ENSNSUG00000001003
salvator_merianae ENSSMRG00000013176
pogona_vitticeps ENSPVIG00000005766
sphenodon_punctatus ENSSPUG00000003219
notamacropus_eugenii ENSMEUG00000006270
phascolarctos_cinereus ENSPCIG00000015357
sarcophilus_harrisii ENSSHAG00000014933
monodelphis_domestica ENSMODG00000013228
bos_taurus ENSBTAG00000015354
bos_mutus ENSBMUG00000013564
bison_bison_bison ENSBBBG00000018705
capra_hircus ENSCHIG00000021872
ovis_aries ENSOARG00000015091
tursiops_truncatus ENSTTRG00000002145
sus_scrofa ENSSSCG00000012653
vicugna_pacos ENSVPAG00000000706
ursus_americanus ENSUAMG00000003073
ursus_maritimus ENSUMAG00000004647
ailuropoda_melanoleuca ENSAMEG00000015054
canis_lupus_dingo ENSCAFG00020001516
canis_lupus_familiaris ENSCAFG00000018705
vulpes_vulpes ENSVVUG00000008927
neovison_vison ENSNVIG00000001243
mustela_putorius_furo ENSMPUG00000017428
panthera_pardus ENSPPRG00000011725
panthera_tigris_altaica ENSPTIG00000011983
felis_catus ENSFCAG00000025956
equus_asinus_asinus ENSEASG00005007690
equus_caballus ENSECAG00000013490
pteropus_vampyrus ENSPVAG00000017927
myotis_lucifugus ENSMLUG00000001980
loxodonta_africana ENSLAFG00000005334
procavia_capensis ENSPCAG00000003081
octodon_degus ENSODEG00000013080
cavia_porcellus ENSCPOG00000001256
chinchilla_lanigera ENSCLAG00000001605
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003756
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002669
fukomys_damarensis ENSFDAG00000010591
urocitellus_parryii ENSUPAG00010011530
ictidomys_tridecemlineatus ENSSTOG00000022858
spermophilus_dauricus ENSSDAG00000021690
marmota_marmota_marmota ENSMMMG00000005236
castor_canadensis ENSCCNG00000025648
dipodomys_ordii ENSDORG00000024469
cricetulus_griseus_crigri_1.0 ENSCGRG00000015497
cricetulus_griseus_crigri-picr ENSCGRG00015013576
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016578
mesocricetus_auratus ENSMAUG00000000161
microtus_ochrogaster ENSMOCG00000009045
peromyscus_maniculatus_bairdii ENSPEMG00000008850
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034197
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036985
mus_spicilegus ENSMSIG00000029912
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033039
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031584
rattus_norvegicus ENSRNOG00000004581
nannospalax_galili ENSNGAG00000015180
jaculus_jaculus ENSJJAG00000023971
castor_canadensis ENSCCNG00000031565
meriones_unguiculatus ENSMUGG00000002710
oryctolagus_cuniculus ENSOCUG00000001779
ochotona_princeps ENSOPRG00000009582
pan_paniscus ENSPPAG00000038981
pan_troglodytes ENSPTRG00000052796
homo_sapiens ENSG00000188706
gorilla_gorilla ENSGGOG00000015203
pongo_abelii ENSPPYG00000020708
nomascus_leucogenys ENSNLEG00000015242
theropithecus_gelada ENSTGEG00000022667
mandrillus_leucophaeus ENSMLEG00000034629
papio_anubis ENSPANG00000019559
cercocebus_atys ENSCATG00000031943
chlorocebus_sabaeus ENSCSAG00000008247
macaca_nemestrina ENSMNEG00000034484
macaca_fascicularis ENSMFAG00000003427
macaca_mulatta ENSMMUG00000020699
piliocolobus_tephrosceles ENSPTEG00000034026
