otolemur_garnettii ENSOGAG00000032393
homo_sapiens ENSG00000249730
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100021286
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020816
cavia_porcellus ENSCPOG00000025720
urocitellus_parryii ENSUPAG00010011048
ictidomys_tridecemlineatus ENSSTOG00000021702
spermophilus_dauricus ENSSDAG00000018406
marmota_marmota_marmota ENSMMMG00000022466
oryctolagus_cuniculus ENSOCUG00000021643
ursus_maritimus ENSUMAG00000001718
ailuropoda_melanoleuca ENSAMEG00000015694
canis_lupus_familiaris ENSCAFG00000011765
canis_lupus_dingo ENSCAFG00020019709
vulpes_vulpes ENSVVUG00000003964
mustela_putorius_furo ENSMPUG00000019469
neovison_vison ENSNVIG00000000142
felis_catus ENSFCAG00000023747
panthera_pardus ENSPPRG00000024602
bos_taurus ENSBTAG00000019618
bos_mutus ENSBMUG00000023023
equus_caballus ENSECAG00000005215
equus_asinus_asinus ENSEASG00005003261
dasypus_novemcinctus ENSDNOG00000047018
phascolarctos_cinereus ENSPCIG00000027072
