canis_lupus_dingo ENSCAFG00020027145
vulpes_vulpes ENSVVUG00000007642
capra_hircus ENSCHIG00000009863
equus_asinus_asinus ENSEASG00005012575
callithrix_jacchus ENSCJAG00000012417
piliocolobus_tephrosceles ENSPTEG00000039289
meriones_unguiculatus ENSMUGG00000017132
coturnix_japonica ENSCJPG00005002153
ciona_intestinalis ENSCING00000013022
drosophila_melanogaster FBgn0261608
caenorhabditis_elegans_strain_n2 WBGene00004456
saccharomyces_cerevisiae_strain_s288c YPR043W
saccharomyces_cerevisiae_strain_s288c YJR094W-A
