heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000111
octodon_degus ENSODEG00000011684
spermophilus_dauricus ENSSDAG00000017076
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000103088
mus_spicilegus ENSMSIG00000002803
rattus_norvegicus ENSRNOG00000039455
meriones_unguiculatus ENSMUGG00000004423
microtus_ochrogaster ENSMOCG00000014624
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022194
oryctolagus_cuniculus ENSOCUG00000027841
theropithecus_gelada ENSTGEG00000017452
theropithecus_gelada ENSTGEG00000017402
papio_anubis ENSPANG00000032639
mandrillus_leucophaeus ENSMLEG00000026777
rhinopithecus_bieti ENSRBIG00000037666
homo_sapiens ENSG00000253305
ursus_americanus ENSUAMG00000000673
ursus_americanus ENSUAMG00000002096
mustela_putorius_furo ENSMPUG00000008317
vulpes_vulpes ENSVVUG00000017524
canis_lupus_dingo ENSCAFG00020021115
equus_caballus ENSECAG00000032298
bos_taurus ENSBTAG00000053294
bos_mutus ENSBMUG00000017412
sus_scrofa ENSSSCG00000031533
