numida_meleagris ENSNMEG00000014137
coturnix_japonica ENSCJPG00005003454
calidris_pugnax ENSCPUG00000008419
lonchura_striata_domestica ENSLSDG00000003132
apteryx_rowi ENSARWG00000010784
apteryx_owenii ENSAOWG00000000793
chelonoidis_abingdonii ENSCABG00000010118
chrysemys_picta_bellii ENSCPBG00000023902
pogona_vitticeps ENSPVIG00000013188
anolis_carolinensis ENSACAG00000003556
notechis_scutatus ENSNSUG00000003175
salvator_merianae ENSSMRG00000004338
sphenodon_punctatus ENSSPUG00000000705
loxodonta_africana ENSLAFG00000011724
procavia_capensis ENSPCAG00000015051
echinops_telfairi ENSETEG00000019486
bos_mutus ENSBMUG00000014082
bos_taurus ENSBTAG00000011825
capra_hircus ENSCHIG00000017848
sus_scrofa ENSSSCG00000013727
myotis_lucifugus ENSMLUG00000012689
pteropus_vampyrus ENSPVAG00000014697
panthera_pardus ENSPPRG00000003329
felis_catus ENSFCAG00000032147
canis_lupus_dingo ENSCAFG00020005142
vulpes_vulpes ENSVVUG00000024113
ursus_americanus ENSUAMG00000019618
mustela_putorius_furo ENSMPUG00000004652
ailuropoda_melanoleuca ENSAMEG00000012192
ursus_maritimus ENSUMAG00000006440
tursiops_truncatus ENSTTRG00000005460
equus_asinus_asinus ENSEASG00005004158
equus_caballus ENSECAG00000012154
castor_canadensis ENSCCNG00000017707
dipodomys_ordii ENSDORG00000014997
oryctolagus_cuniculus ENSOCUG00000008264
carlito_syrichta ENSTSYG00000032954
microtus_ochrogaster ENSMOCG00000009371
peromyscus_maniculatus_bairdii ENSPEMG00000016449
cricetulus_griseus_crigri_1.0 ENSCGRG00000016309
cricetulus_griseus_crigri-picr ENSCGRG00015018169
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014029
mesocricetus_auratus ENSMAUG00000019320
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000041203
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031325
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032444
mus_spicilegus ENSMSIG00000013540
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022930
rattus_norvegicus ENSRNOG00000003863
meriones_unguiculatus ENSMUGG00000013785
meriones_unguiculatus ENSMUGG00000026020
nannospalax_galili ENSNGAG00000017973
jaculus_jaculus ENSJJAG00000016895
ictidomys_tridecemlineatus ENSSTOG00000006978
urocitellus_parryii ENSUPAG00010007779
marmota_marmota_marmota ENSMMMG00000020777
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010020
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009680
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006757
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013011
fukomys_damarensis ENSFDAG00000014996
octodon_degus ENSODEG00000010879
cavia_porcellus ENSCPOG00000003765
chinchilla_lanigera ENSCLAG00000011164
prolemur_simus ENSPSMG00000009264
microcebus_murinus ENSMICG00000027484
propithecus_coquereli ENSPCOG00000027525
otolemur_garnettii ENSOGAG00000012203
pan_troglodytes ENSPTRG00000010536
pan_paniscus ENSPPAG00000023372
homo_sapiens ENSG00000123144
gorilla_gorilla ENSGGOG00000005540
pongo_abelii ENSPPYG00000009603
nomascus_leucogenys ENSNLEG00000033688
papio_anubis ENSPANG00000004448
theropithecus_gelada ENSTGEG00000001600
macaca_nemestrina ENSMNEG00000007751
macaca_fascicularis ENSMFAG00000044077
macaca_mulatta ENSMMUG00000006274
cercocebus_atys ENSCATG00000041032
chlorocebus_sabaeus ENSCSAG00000006588
rhinopithecus_bieti ENSRBIG00000031142
rhinopithecus_roxellana ENSRROG00000042115
cebus_capucinus_imitator ENSCCAG00000034041
callithrix_jacchus ENSCJAG00000005083
saimiri_boliviensis_boliviensis ENSSBOG00000032465
aotus_nancymaae ENSANAG00000036223
canis_lupus_familiaris ENSCAFG00000030547
neovison_vison ENSNVIG00000003597
piliocolobus_tephrosceles ENSPTEG00000008580
dasypus_novemcinctus ENSDNOG00000035923
monodelphis_domestica ENSMODG00000025628
monodelphis_domestica ENSMODG00000006904
phascolarctos_cinereus ENSPCIG00000015300
xenopus_tropicalis ENSXETG00000004768
latimeria_chalumnae ENSLACG00000008898
astyanax_mexicanus ENSAMXG00000042277
danio_rerio ENSDARG00000104178
scleropages_formosus ENSSFOG00015009545
pygocentrus_nattereri ENSPNAG00000017464
ictalurus_punctatus ENSIPUG00000021520
esox_lucius ENSELUG00000010844
paramormyrops_kingsleyae ENSPKIG00000009548
scleropages_formosus ENSSFOG00015014283
paramormyrops_kingsleyae ENSPKIG00000008377
lepisosteus_oculatus ENSLOCG00000007974
scophthalmus_maximus ENSSMAG00000003083
fundulus_heteroclitus ENSFHEG00000009862
labrus_bergylta ENSLBEG00000014380
labrus_bergylta ENSLBEG00000002083
gasterosteus_aculeatus ENSGACG00000006002
mola_mola ENSMMOG00000007519
maylandia_zebra ENSMZEG00005003258
pundamilia_nyererei ENSPNYG00000001295
haplochromis_burtoni ENSHBUG00000000633
astatotilapia_calliptera ENSACLG00000000917
neolamprologus_brichardi ENSNBRG00000010941
oreochromis_niloticus ENSONIG00000008174
amphiprion_ocellaris ENSAOCG00000007110
amphiprion_percula ENSAPEG00000016221
acanthochromis_polyacanthus ENSAPOG00000009655
stegastes_partitus ENSSPAG00000016449
cynoglossus_semilaevis ENSCSEG00000015054
poecilia_mexicana ENSPMEG00000013201
poecilia_mexicana ENSPMEG00000010591
poecilia_formosa ENSPFOG00000009169
poecilia_latipinna ENSPLAG00000013962
poecilia_reticulata ENSPREG00000014314
xiphophorus_maculatus ENSXMAG00000009111
gambusia_affinis ENSGAFG00000014855
cyprinodon_variegatus ENSCVAG00000007128
kryptolebias_marmoratus ENSKMAG00000011701
oryzias_latipes_asm223471v1 ENSORLG00020022242
oryzias_latipes_asm223469v1 ENSORLG00015015402
oryzias_melastigma ENSOMEG00000009480
amphilophus_citrinellus ENSACIG00000021095
anabas_testudineus ENSATEG00000011822
mastacembelus_armatus ENSMAMG00000009782
seriola_lalandi_dorsalis ENSSLDG00000024724
seriola_dumerili ENSSDUG00000017089
hippocampus_comes ENSHCOG00000009299
periophthalmus_magnuspinnatus ENSPMGG00000016217
gadus_morhua ENSGMOG00000011196
takifugu_rubripes ENSTRUG00000001301
takifugu_rubripes ENSTRUG00000023442
monopterus_albus ENSMALG00000003112
oryzias_latipes_asm223467v1 ENSORLG00000016259
eptatretus_burgeri ENSEBUG00000009617
