castor_canadensis ENSCCNG00000018955
dipodomys_ordii ENSDORG00000026703
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024993
mus_spicilegus ENSMSIG00000028163
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024043
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023122
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014610
rattus_norvegicus ENSRNOG00000010230
meriones_unguiculatus ENSMUGG00000000631
meriones_unguiculatus ENSMUGG00000000612
cricetulus_griseus_crigri-picr ENSCGRG00015009612
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016270
cricetulus_griseus_crigri_1.0 ENSCGRG00000001985
mesocricetus_auratus ENSMAUG00000015359
microtus_ochrogaster ENSMOCG00000012284
peromyscus_maniculatus_bairdii ENSPEMG00000009587
nannospalax_galili ENSNGAG00000017203
cavia_porcellus ENSCPOG00000015190
cavia_aperea ENSCAPG00000008697
octodon_degus ENSODEG00000012447
octodon_degus ENSODEG00000017551
chinchilla_lanigera ENSCLAG00000009118
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010220
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015262
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006855
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001809
fukomys_damarensis ENSFDAG00000021107
ictidomys_tridecemlineatus ENSSTOG00000020685
marmota_marmota_marmota ENSMMMG00000000410
tupaia_belangeri ENSTBEG00000010597
cebus_capucinus_imitator ENSCCAG00000026121
callithrix_jacchus ENSCJAG00000019618
saimiri_boliviensis_boliviensis ENSSBOG00000019475
aotus_nancymaae ENSANAG00000031098
pan_paniscus ENSPPAG00000027869
chlorocebus_sabaeus ENSCSAG00000004768
pan_troglodytes ENSPTRG00000002989
homo_sapiens ENSG00000119979
nomascus_leucogenys ENSNLEG00000032443
papio_anubis ENSPANG00000020611
macaca_nemestrina ENSMNEG00000036385
papio_anubis ENSPANG00000029858
macaca_nemestrina ENSMNEG00000039748
chlorocebus_sabaeus ENSCSAG00000019468
mandrillus_leucophaeus ENSMLEG00000025579
cercocebus_atys ENSCATG00000044731
theropithecus_gelada ENSTGEG00000026893
rhinopithecus_roxellana ENSRROG00000039397
piliocolobus_tephrosceles ENSPTEG00000035726
gorilla_gorilla ENSGGOG00000000888
pongo_abelii ENSPPYG00000002698
rhinopithecus_bieti ENSRBIG00000039084
carlito_syrichta ENSTSYG00000010153
propithecus_coquereli ENSPCOG00000000559
microcebus_murinus ENSMICG00000026438
prolemur_simus ENSPSMG00000011392
otolemur_garnettii ENSOGAG00000002070
ursus_americanus ENSUAMG00000009459
ursus_maritimus ENSUMAG00000003193
ailuropoda_melanoleuca ENSAMEG00000009999
mustela_putorius_furo ENSMPUG00000003085
neovison_vison ENSNVIG00000005028
canis_lupus_familiaris ENSCAFG00000012090
canis_lupus_dingo ENSCAFG00020013848
vulpes_vulpes ENSVVUG00000010922
panthera_pardus ENSPPRG00000007455
panthera_tigris_altaica ENSPTIG00000018111
felis_catus ENSFCAG00000010657
equus_caballus ENSECAG00000013713
equus_asinus_asinus ENSEASG00005014457
pteropus_vampyrus ENSPVAG00000003151
myotis_lucifugus ENSMLUG00000012854
vicugna_pacos ENSVPAG00000004890
vicugna_pacos ENSVPAG00000015410
sus_scrofa ENSSSCG00000010680
tursiops_truncatus ENSTTRG00000000183
capra_hircus ENSCHIG00000020782
ovis_aries ENSOARG00000001460
bison_bison_bison ENSBBBG00000010129
bos_mutus ENSBMUG00000006357
bos_taurus ENSBTAG00000008729
oryctolagus_cuniculus ENSOCUG00000005001
ochotona_princeps ENSOPRG00000004823
jaculus_jaculus ENSJJAG00000006686
erinaceus_europaeus ENSEEUG00000006853
dasypus_novemcinctus ENSDNOG00000007688
loxodonta_africana ENSLAFG00000012957
echinops_telfairi ENSETEG00000014553
procavia_capensis ENSPCAG00000010791
notamacropus_eugenii ENSMEUG00000001072
ficedula_albicollis ENSFALG00000002191
cyanistes_caeruleus ENSCCEG00000017703
manacus_vitellinus ENSMVIG00005015870
calidris_pugnax ENSCPUG00000019381
calidris_pygmaea ENSCPGG00000011395
meleagris_gallopavo ENSMGAG00000011324
apteryx_owenii ENSAOWG00000016717
apteryx_haastii ENSAHAG00000013063
dromaius_novaehollandiae ENSDNVG00000010326
pelodiscus_sinensis ENSPSIG00000006426
