peromyscus_maniculatus_bairdii ENSPEMG00000018379
microtus_ochrogaster ENSMOCG00000020985
cricetulus_griseus_crigri_1.0 ENSCGRG00000004095
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000555
cricetulus_griseus_crigri-picr ENSCGRG00015020901
mus_spicilegus ENSMSIG00000011199
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000087376
mesocricetus_auratus ENSMAUG00000016430
nannospalax_galili ENSNGAG00000007090
meriones_unguiculatus ENSMUGG00000008336
jaculus_jaculus ENSJJAG00000013833
spermophilus_dauricus ENSSDAG00000011075
marmota_marmota_marmota ENSMMMG00000006733
urocitellus_parryii ENSUPAG00010015786
cavia_aperea ENSCAPG00000015910
castor_canadensis ENSCCNG00000000972
