gasterosteus_aculeatus ENSGACG00000020839
labrus_bergylta ENSLBEG00000014265
poecilia_reticulata ENSPREG00000013655
poecilia_formosa ENSPFOG00000000714
xiphophorus_couchianus ENSXCOG00000018751
poecilia_mexicana ENSPMEG00000023159
poecilia_latipinna ENSPLAG00000019785
xiphophorus_maculatus ENSXMAG00000025200
gambusia_affinis ENSGAFG00000011121
cyprinodon_variegatus ENSCVAG00000002553
fundulus_heteroclitus ENSFHEG00000005826
kryptolebias_marmoratus ENSKMAG00000003668
mastacembelus_armatus ENSMAMG00000000493
takifugu_rubripes ENSTRUG00000009541
oryzias_latipes_asm223469v1 ENSORLG00015014258
oryzias_latipes_asm223471v1 ENSORLG00020007921
oryzias_latipes_asm223467v1 ENSORLG00000023830
oryzias_melastigma ENSOMEG00000001563
acanthochromis_polyacanthus ENSAPOG00000016624
anabas_testudineus ENSATEG00000022850
amphiprion_ocellaris ENSAOCG00000012035
amphiprion_percula ENSAPEG00000001434
stegastes_partitus ENSSPAG00000005495
astatotilapia_calliptera ENSACLG00000024425
pundamilia_nyererei ENSPNYG00000012801
maylandia_zebra ENSMZEG00005011743
haplochromis_burtoni ENSHBUG00000014397
oreochromis_niloticus ENSONIG00000013252
amphilophus_citrinellus ENSACIG00000012763
scophthalmus_maximus ENSSMAG00000014180
cynoglossus_semilaevis ENSCSEG00000010431
seriola_lalandi_dorsalis ENSSLDG00000002126
seriola_dumerili ENSSDUG00000008899
mola_mola ENSMMOG00000016987
monopterus_albus ENSMALG00000010611
periophthalmus_magnuspinnatus ENSPMGG00000007270
hippocampus_comes ENSHCOG00000009564
gadus_morhua ENSGMOG00000002011
esox_lucius ENSELUG00000006154
astyanax_mexicanus ENSAMXG00000007080
pygocentrus_nattereri ENSPNAG00000015661
ictalurus_punctatus ENSIPUG00000007292
danio_rerio ENSDARG00000054060
scleropages_formosus ENSSFOG00015009846
paramormyrops_kingsleyae ENSPKIG00000008695
lepisosteus_oculatus ENSLOCG00000014948
gopherus_agassizii ENSGAGG00000005876
