mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056509
mus_spicilegus ENSMSIG00000005413
rattus_norvegicus ENSRNOG00000058252
meriones_unguiculatus ENSMUGG00000012744
cricetulus_griseus_crigri-picr ENSCGRG00015016083
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020067
cricetulus_griseus_crigri_1.0 ENSCGRG00000011824
mesocricetus_auratus ENSMAUG00000013290
peromyscus_maniculatus_bairdii ENSPEMG00000021845
microtus_ochrogaster ENSMOCG00000010685
nannospalax_galili ENSNGAG00000016983
jaculus_jaculus ENSJJAG00000015453
castor_canadensis ENSCCNG00000003113
fukomys_damarensis ENSFDAG00000010157
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009202
chinchilla_lanigera ENSCLAG00000017270
octodon_degus ENSODEG00000009912
cavia_aperea ENSCAPG00000001486
cavia_porcellus ENSCPOG00000035484
urocitellus_parryii ENSUPAG00010010639
equus_asinus_asinus ENSEASG00005012951
