junco_hyemalis ENSJHYG00000005447
lonchura_striata_domestica ENSLSDG00000008445
ficedula_albicollis ENSFALG00000008279
parus_major ENSPMJG00000001279
lepidothrix_coronata ENSLCOG00000002417
calidris_pugnax ENSCPUG00000015430
anser_brachyrhynchus ENSABRG00000003206
anas_platyrhynchos_platyrhynchos ENSAPLG00000019904
meleagris_gallopavo ENSMGAG00000004371
coturnix_japonica ENSCJPG00005011168
gallus_gallus ENSGALG00000036484
numida_meleagris ENSNMEG00000003495
apteryx_owenii ENSAOWG00000003746
apteryx_rowi ENSARWG00000015653
apteryx_haastii ENSAHAG00000010991
apteryx_owenii ENSAOWG00000003755
apteryx_rowi ENSARWG00000015651
dromaius_novaehollandiae ENSDNVG00000000963
nothoprocta_perdicaria ENSNPEG00000002248
notechis_scutatus ENSNSUG00000017178
ornithorhynchus_anatinus ENSOANG00000028853
anolis_carolinensis ENSACAG00000017776
pogona_vitticeps ENSPVIG00000000461
salvator_merianae ENSSMRG00000000110
sphenodon_punctatus ENSSPUG00000007934
chrysemys_picta_bellii ENSCPBG00000012461
chelonoidis_abingdonii ENSCABG00000004882
pelodiscus_sinensis ENSPSIG00000017408
gopherus_agassizii ENSGAGG00000001179
ornithorhynchus_anatinus ENSOANG00000032130
phascolarctos_cinereus ENSPCIG00000024219
notamacropus_eugenii ENSMEUG00000004120
sarcophilus_harrisii ENSSHAG00000011784
monodelphis_domestica ENSMODG00000028358
propithecus_coquereli ENSPCOG00000015066
prolemur_simus ENSPSMG00000002186
otolemur_garnettii ENSOGAG00000010954
pan_troglodytes ENSPTRG00000010734
pan_paniscus ENSPPAG00000003961
homo_sapiens ENSG00000130287
gorilla_gorilla ENSGGOG00000002977
nomascus_leucogenys ENSNLEG00000006221
pongo_abelii ENSPPYG00000009763
chlorocebus_sabaeus ENSCSAG00000005190
colobus_angolensis_palliatus ENSCANG00000031467
piliocolobus_tephrosceles ENSPTEG00000028203
rhinopithecus_roxellana ENSRROG00000037872
rhinopithecus_bieti ENSRBIG00000028711
theropithecus_gelada ENSTGEG00000015908
papio_anubis ENSPANG00000017942
mandrillus_leucophaeus ENSMLEG00000035960
macaca_fascicularis ENSMFAG00000043588
macaca_nemestrina ENSMNEG00000029669
cercocebus_atys ENSCATG00000033037
callithrix_jacchus ENSCJAG00000008512
cebus_capucinus_imitator ENSCCAG00000029973
saimiri_boliviensis_boliviensis ENSSBOG00000033005
aotus_nancymaae ENSANAG00000035988
tupaia_belangeri ENSTBEG00000003234
