equus_asinus_asinus ENSEASG00005018618
equus_caballus ENSECAG00000012367
pteropus_vampyrus ENSPVAG00000016578
ovis_aries ENSOARG00000004751
capra_hircus ENSCHIG00000018450
bos_mutus ENSBMUG00000022314
bos_taurus ENSBTAG00000054481
bison_bison_bison ENSBBBG00000005542
sus_scrofa ENSSSCG00000037168
erinaceus_europaeus ENSEEUG00000015823
neovison_vison ENSNVIG00000007219
mustela_putorius_furo ENSMPUG00000015441
ursus_maritimus ENSUMAG00000014833
ursus_americanus ENSUAMG00000026801
ailuropoda_melanoleuca ENSAMEG00000011897
canis_lupus_dingo ENSCAFG00020023519
canis_lupus_familiaris ENSCAFG00000017022
vulpes_vulpes ENSVVUG00000004742
panthera_pardus ENSPPRG00000007766
panthera_tigris_altaica ENSPTIG00000017009
felis_catus ENSFCAG00000042623
pan_paniscus ENSPPAG00000030755
pan_troglodytes ENSPTRG00000042996
homo_sapiens ENSG00000167105
gorilla_gorilla ENSGGOG00000025886
pongo_abelii ENSPPYG00000008938
nomascus_leucogenys ENSNLEG00000009007
macaca_nemestrina ENSMNEG00000041470
macaca_fascicularis ENSMFAG00000040318
macaca_mulatta ENSMMUG00000001469
chlorocebus_sabaeus ENSCSAG00000005357
mandrillus_leucophaeus ENSMLEG00000005643
papio_anubis ENSPANG00000035885
theropithecus_gelada ENSTGEG00000028951
cercocebus_atys ENSCATG00000044818
colobus_angolensis_palliatus ENSCANG00000035712
piliocolobus_tephrosceles ENSPTEG00000034960
rhinopithecus_roxellana ENSRROG00000039943
rhinopithecus_bieti ENSRBIG00000032676
cebus_capucinus_imitator ENSCCAG00000028039
saimiri_boliviensis_boliviensis ENSSBOG00000030516
callithrix_jacchus ENSCJAG00000018867
aotus_nancymaae ENSANAG00000028271
pongo_abelii ENSPPYG00000005767
carlito_syrichta ENSTSYG00000028204
propithecus_coquereli ENSPCOG00000016701
microcebus_murinus ENSMICG00000007273
prolemur_simus ENSPSMG00000024016
otolemur_garnettii ENSOGAG00000031374
tupaia_belangeri ENSTBEG00000002136
marmota_marmota_marmota ENSMMMG00000022692
spermophilus_dauricus ENSSDAG00000019670
castor_canadensis ENSCCNG00000002350
rattus_norvegicus ENSRNOG00000058647
rattus_norvegicus ENSRNOG00000042868
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075610
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016993
mus_spicilegus ENSMSIG00000020048
mus_spicilegus ENSMSIG00000020040
meriones_unguiculatus ENSMUGG00000010670
peromyscus_maniculatus_bairdii ENSPEMG00000021048
microtus_ochrogaster ENSMOCG00000013915
cricetulus_griseus_crigri-picr ENSCGRG00015021634
cricetulus_griseus_crigri-picr ENSCGRG00015011525
cricetulus_griseus_crigri-picr ENSCGRG00015011512
cricetulus_griseus_crigri-picr ENSCGRG00015021687
cricetulus_griseus_crigri-picr ENSCGRG00015024415
cricetulus_griseus_crigri-picr ENSCGRG00015021706
cricetulus_griseus_crigri-picr ENSCGRG00015011570
cricetulus_griseus_crigri-picr ENSCGRG00015024404
cricetulus_griseus_crigri-picr ENSCGRG00015021608
cricetulus_griseus_crigri-picr ENSCGRG00015024395
cricetulus_griseus_crigri-picr ENSCGRG00015021670
oryctolagus_cuniculus ENSOCUG00000021058
ochotona_princeps ENSOPRG00000006571
procavia_capensis ENSPCAG00000011772
loxodonta_africana ENSLAFG00000027483
echinops_telfairi ENSETEG00000014418
dasypus_novemcinctus ENSDNOG00000043425
sarcophilus_harrisii ENSSHAG00000014013
notamacropus_eugenii ENSMEUG00000002030
phascolarctos_cinereus ENSPCIG00000020256
monodelphis_domestica ENSMODG00000011871
