chinchilla_lanigera ENSCLAG00000010976
octodon_degus ENSODEG00000011021
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008655
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015840
fukomys_damarensis ENSFDAG00000007448
cavia_porcellus ENSCPOG00000026420
cavia_aperea ENSCAPG00000012746
ictidomys_tridecemlineatus ENSSTOG00000019777
urocitellus_parryii ENSUPAG00010004006
castor_canadensis ENSCCNG00000015389
castor_canadensis ENSCCNG00000023725
castor_canadensis ENSCCNG00000023718
castor_canadensis ENSCCNG00000020473
dipodomys_ordii ENSDORG00000028750
cricetulus_griseus_crigri_1.0 ENSCGRG00000016579
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000586
cricetulus_griseus_crigri-picr ENSCGRG00015007948
mesocricetus_auratus ENSMAUG00000009359
peromyscus_maniculatus_bairdii ENSPEMG00000013011
microtus_ochrogaster ENSMOCG00000008121
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016344
mus_spicilegus ENSMSIG00000000794
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000052151
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015526
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030939
rattus_norvegicus ENSRNOG00000000177
meriones_unguiculatus ENSMUGG00000021741
nannospalax_galili ENSNGAG00000006196
jaculus_jaculus ENSJJAG00000022738
oryctolagus_cuniculus ENSOCUG00000025039
ochotona_princeps ENSOPRG00000006300
piliocolobus_tephrosceles ENSPTEG00000035745
sus_scrofa ENSSSCG00000014004
sus_scrofa ENSSSCG00000038978
bos_taurus ENSBTAG00000000717
bos_mutus ENSBMUG00000003569
bison_bison_bison ENSBBBG00000016647
capra_hircus ENSCHIG00000026941
ovis_aries ENSOARG00000008281
tursiops_truncatus ENSTTRG00000003761
ursus_americanus ENSUAMG00000015934
ursus_maritimus ENSUMAG00000005133
ailuropoda_melanoleuca ENSAMEG00000002579
mustela_putorius_furo ENSMPUG00000010138
neovison_vison ENSNVIG00000001939
canis_lupus_dingo ENSCAFG00020016759
canis_lupus_familiaris ENSCAFG00000019734
vulpes_vulpes ENSVVUG00000022451
panthera_pardus ENSPPRG00000008813
panthera_tigris_altaica ENSPTIG00000012507
felis_catus ENSFCAG00000024319
myotis_lucifugus ENSMLUG00000028979
pteropus_vampyrus ENSPVAG00000008699
equus_asinus_asinus ENSEASG00005021431
equus_caballus ENSECAG00000028640
propithecus_coquereli ENSPCOG00000013407
microcebus_murinus ENSMICG00000003741
prolemur_simus ENSPSMG00000000190
otolemur_garnettii ENSOGAG00000029675
theropithecus_gelada ENSTGEG00000008419
mandrillus_leucophaeus ENSMLEG00000042822
chlorocebus_sabaeus ENSCSAG00000013136
cercocebus_atys ENSCATG00000043596
papio_anubis ENSPANG00000009248
macaca_mulatta ENSMMUG00000023716
macaca_fascicularis ENSMFAG00000044337
macaca_nemestrina ENSMNEG00000036300
rhinopithecus_bieti ENSRBIG00000043400
rhinopithecus_roxellana ENSRROG00000032296
colobus_angolensis_palliatus ENSCANG00000034065
pan_troglodytes ENSPTRG00000010141
pan_paniscus ENSPPAG00000042640
homo_sapiens ENSG00000141934
gorilla_gorilla ENSGGOG00000014856
pongo_abelii ENSPPYG00000009267
nomascus_leucogenys ENSNLEG00000000767
cebus_capucinus_imitator ENSCCAG00000023399
cebus_capucinus_imitator ENSCCAG00000035018
cebus_capucinus_imitator ENSCCAG00000027488
cebus_capucinus_imitator ENSCCAG00000027671
cebus_capucinus_imitator ENSCCAG00000037319
cebus_capucinus_imitator ENSCCAG00000025847
saimiri_boliviensis_boliviensis ENSSBOG00000021722
saimiri_boliviensis_boliviensis ENSSBOG00000020659
cebus_capucinus_imitator ENSCCAG00000022973
callithrix_jacchus ENSCJAG00000014560
callithrix_jacchus ENSCJAG00000045368
aotus_nancymaae ENSANAG00000024572
ailuropoda_melanoleuca ENSAMEG00000019230
loxodonta_africana ENSLAFG00000031305
loxodonta_africana ENSLAFG00000007571
procavia_capensis ENSPCAG00000014571
spermophilus_dauricus ENSSDAG00000003511
dasypus_novemcinctus ENSDNOG00000032299
erinaceus_europaeus ENSEEUG00000010252
sarcophilus_harrisii ENSSHAG00000000085
monodelphis_domestica ENSMODG00000006556
phascolarctos_cinereus ENSPCIG00000022219
notamacropus_eugenii ENSMEUG00000006082
xenopus_tropicalis ENSXETG00000026886
pogona_vitticeps ENSPVIG00000023090
anolis_carolinensis ENSACAG00000008865
salvator_merianae ENSSMRG00000017674
notechis_scutatus ENSNSUG00000001592
notechis_scutatus ENSNSUG00000001594
sphenodon_punctatus ENSSPUG00000004945
anser_brachyrhynchus ENSABRG00000004596
anas_platyrhynchos_platyrhynchos ENSAPLG00000002405
coturnix_japonica ENSCJPG00005009717
meleagris_gallopavo ENSMGAG00000010080
numida_meleagris ENSNMEG00000007919
lonchura_striata_domestica ENSLSDG00000008680
taeniopygia_guttata ENSTGUG00000000592
serinus_canaria ENSSCAG00000005614
zonotrichia_albicollis ENSZALG00000016973
cyanistes_caeruleus ENSCCEG00000000137
parus_major ENSPMJG00000011001
ficedula_albicollis ENSFALG00000013897
manacus_vitellinus ENSMVIG00005015584
lepidothrix_coronata ENSLCOG00000013205
calidris_pygmaea ENSCPGG00000012491
calidris_pugnax ENSCPUG00000007447
gallus_gallus ENSGALG00000026834
junco_hyemalis ENSJHYG00000006069
melopsittacus_undulatus ENSMUNG00000008018
apteryx_owenii ENSAOWG00000013351
apteryx_haastii ENSAHAG00000003376
apteryx_rowi ENSARWG00000010832
dromaius_novaehollandiae ENSDNVG00000012859
crocodylus_porosus ENSCPRG00005012077
gopherus_agassizii ENSGAGG00000019537
chelonoidis_abingdonii ENSCABG00000003266
chrysemys_picta_bellii ENSCPBG00000010793
pelodiscus_sinensis ENSPSIG00000003509
ornithorhynchus_anatinus ENSOANG00000009746
nothoprocta_perdicaria ENSNPEG00000001857
latimeria_chalumnae ENSLACG00000012456
takifugu_rubripes ENSTRUG00000015990
tetraodon_nigroviridis ENSTNIG00000017191
mola_mola ENSMMOG00000008753
fundulus_heteroclitus ENSFHEG00000009996
cyprinodon_variegatus ENSCVAG00000007175
xiphophorus_maculatus ENSXMAG00000009408
xiphophorus_couchianus ENSXCOG00000000208
gambusia_affinis ENSGAFG00000019153
poecilia_mexicana ENSPMEG00000014503
poecilia_latipinna ENSPLAG00000007920
poecilia_formosa ENSPFOG00000014394
poecilia_reticulata ENSPREG00000010608
oryzias_latipes_asm223471v1 ENSORLG00020014151
oryzias_latipes_asm223469v1 ENSORLG00015012739
oryzias_latipes_asm223467v1 ENSORLG00000014235
oryzias_melastigma ENSOMEG00000011563
cynoglossus_semilaevis ENSCSEG00000005198
amphiprion_ocellaris ENSAOCG00000009684
amphiprion_percula ENSAPEG00000013247
acanthochromis_polyacanthus ENSAPOG00000001535
stegastes_partitus ENSSPAG00000020647
maylandia_zebra ENSMZEG00005000358
pundamilia_nyererei ENSPNYG00000013415
astatotilapia_calliptera ENSACLG00000009950
haplochromis_burtoni ENSHBUG00000008282
neolamprologus_brichardi ENSNBRG00000021515
oreochromis_niloticus ENSONIG00000001138
amphilophus_citrinellus ENSACIG00000017875
mastacembelus_armatus ENSMAMG00000002922
monopterus_albus ENSMALG00000010271
anabas_testudineus ENSATEG00000008342
seriola_dumerili ENSSDUG00000012838
seriola_lalandi_dorsalis ENSSLDG00000022674
kryptolebias_marmoratus ENSKMAG00000013711
periophthalmus_magnuspinnatus ENSPMGG00000008237
scophthalmus_maximus ENSSMAG00000016952
gasterosteus_aculeatus ENSGACG00000009810
labrus_bergylta ENSLBEG00000022221
hippocampus_comes ENSHCOG00000017532
gadus_morhua ENSGMOG00000012061
esox_lucius ENSELUG00000008728
pygocentrus_nattereri ENSPNAG00000023774
astyanax_mexicanus ENSAMXG00000043998
ictalurus_punctatus ENSIPUG00000018135
danio_rerio ENSDARG00000002231
paramormyrops_kingsleyae ENSPKIG00000008764
scleropages_formosus ENSSFOG00015002895
paramormyrops_kingsleyae ENSPKIG00000017075
scleropages_formosus ENSSFOG00015011376
takifugu_rubripes ENSTRUG00000019987
tetraodon_nigroviridis ENSTNIG00000015456
mola_mola ENSMMOG00000020420
labrus_bergylta ENSLBEG00000019365
mastacembelus_armatus ENSMAMG00000002813
amphiprion_ocellaris ENSAOCG00000000457
amphiprion_percula ENSAPEG00000023766
acanthochromis_polyacanthus ENSAPOG00000011709
stegastes_partitus ENSSPAG00000007230
stegastes_partitus ENSSPAG00000007257
periophthalmus_magnuspinnatus ENSPMGG00000015952
scophthalmus_maximus ENSSMAG00000008817
cynoglossus_semilaevis ENSCSEG00000000309
gasterosteus_aculeatus ENSGACG00000011516
hippocampus_comes ENSHCOG00000019704
astatotilapia_calliptera ENSACLG00000000674
maylandia_zebra ENSMZEG00005008652
haplochromis_burtoni ENSHBUG00000008365
pundamilia_nyererei ENSPNYG00000022351
neolamprologus_brichardi ENSNBRG00000001095
oreochromis_niloticus ENSONIG00000002238
amphilophus_citrinellus ENSACIG00000013141
seriola_dumerili ENSSDUG00000009053
seriola_lalandi_dorsalis ENSSLDG00000002913
anabas_testudineus ENSATEG00000004718
poecilia_mexicana ENSPMEG00000007468
poecilia_formosa ENSPFOG00000018680
poecilia_latipinna ENSPLAG00000005637
poecilia_reticulata ENSPREG00000011817
xiphophorus_maculatus ENSXMAG00000013369
xiphophorus_couchianus ENSXCOG00000010194
gambusia_affinis ENSGAFG00000016376
cyprinodon_variegatus ENSCVAG00000019018
fundulus_heteroclitus ENSFHEG00000003891
kryptolebias_marmoratus ENSKMAG00000000397
oryzias_latipes_asm223467v1 ENSORLG00000016852
oryzias_latipes_asm223471v1 ENSORLG00020015366
oryzias_latipes_asm223469v1 ENSORLG00015011160
oryzias_melastigma ENSOMEG00000008494
monopterus_albus ENSMALG00000019886
gadus_morhua ENSGMOG00000014769
esox_lucius ENSELUG00000017042
pygocentrus_nattereri ENSPNAG00000018445
astyanax_mexicanus ENSAMXG00000033432
danio_rerio ENSDARG00000028896
lepisosteus_oculatus ENSLOCG00000006345
