mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033773
mus_spicilegus ENSMSIG00000019128
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027507
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028506
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017279
rattus_norvegicus ENSRNOG00000023484
meriones_unguiculatus ENSMUGG00000010756
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024341
cricetulus_griseus_crigri_1.0 ENSCGRG00000013441
cricetulus_griseus_crigri-picr ENSCGRG00015014765
mesocricetus_auratus ENSMAUG00000022098
microtus_ochrogaster ENSMOCG00000012852
peromyscus_maniculatus_bairdii ENSPEMG00000022421
nannospalax_galili ENSNGAG00000015570
jaculus_jaculus ENSJJAG00000012247
dipodomys_ordii ENSDORG00000012030
cavia_porcellus ENSCPOG00000007163
cavia_aperea ENSCAPG00000007932
octodon_degus ENSODEG00000004891
chinchilla_lanigera ENSCLAG00000006291
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000938
fukomys_damarensis ENSFDAG00000008770
spermophilus_dauricus ENSSDAG00000000113
urocitellus_parryii ENSUPAG00010007445
marmota_marmota_marmota ENSMMMG00000024024
ictidomys_tridecemlineatus ENSSTOG00000030075
castor_canadensis ENSCCNG00000020656
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009983
ochotona_princeps ENSOPRG00000004465
oryctolagus_cuniculus ENSOCUG00000001804
prolemur_simus ENSPSMG00000015467
propithecus_coquereli ENSPCOG00000021860
microcebus_murinus ENSMICG00000044808
microcebus_murinus ENSMICG00000036371
otolemur_garnettii ENSOGAG00000033330
otolemur_garnettii ENSOGAG00000001009
pan_troglodytes ENSPTRG00000000960
pan_paniscus ENSPPAG00000035306
homo_sapiens ENSG00000122484
gorilla_gorilla ENSGGOG00000006674
pongo_abelii ENSPPYG00000001154
nomascus_leucogenys ENSNLEG00000010446
macaca_nemestrina ENSMNEG00000037979
macaca_mulatta ENSMMUG00000010096
macaca_fascicularis ENSMFAG00000031837
theropithecus_gelada ENSTGEG00000023364
papio_anubis ENSPANG00000016897
cercocebus_atys ENSCATG00000032941
mandrillus_leucophaeus ENSMLEG00000033946
chlorocebus_sabaeus ENSCSAG00000001468
rhinopithecus_roxellana ENSRROG00000033026
rhinopithecus_bieti ENSRBIG00000038463
colobus_angolensis_palliatus ENSCANG00000034149
piliocolobus_tephrosceles ENSPTEG00000028734
cebus_capucinus_imitator ENSCCAG00000024859
callithrix_jacchus ENSCJAG00000017591
saimiri_boliviensis_boliviensis ENSSBOG00000028835
aotus_nancymaae ENSANAG00000027517
carlito_syrichta ENSTSYG00000008825
tupaia_belangeri ENSTBEG00000007529
ovis_aries ENSOARG00000016310
capra_hircus ENSCHIG00000019522
bos_mutus ENSBMUG00000014599
bos_taurus ENSBTAG00000018739
bison_bison_bison ENSBBBG00000022008
tursiops_truncatus ENSTTRG00000014437
vicugna_pacos ENSVPAG00000010326
sus_scrofa ENSSSCG00000006903
equus_asinus_asinus ENSEASG00005015507
equus_caballus ENSECAG00000007411
canis_lupus_familiaris ENSCAFG00000001352
canis_lupus_familiaris ENSCAFG00000020158
canis_lupus_dingo ENSCAFG00020013392
vulpes_vulpes ENSVVUG00000020839
neovison_vison ENSNVIG00000018390
mustela_putorius_furo ENSMPUG00000004227
ursus_maritimus ENSUMAG00000011257
ailuropoda_melanoleuca ENSAMEG00000013862
panthera_pardus ENSPPRG00000007827
panthera_tigris_altaica ENSPTIG00000021761
felis_catus ENSFCAG00000027703
sorex_araneus ENSSARG00000006186
