seriola_lalandi_dorsalis ENSSLDG00000022366
mola_mola ENSMMOG00000013927
mastacembelus_armatus ENSMAMG00000023350
acanthochromis_polyacanthus ENSAPOG00000018305
stegastes_partitus ENSSPAG00000009034
poecilia_latipinna ENSPLAG00000016450
poecilia_reticulata ENSPREG00000007277
gambusia_affinis ENSGAFG00000020359
xiphophorus_couchianus ENSXCOG00000010405
fundulus_heteroclitus ENSFHEG00000013793
neolamprologus_brichardi ENSNBRG00000000756
neolamprologus_brichardi ENSNBRG00000000943
haplochromis_burtoni ENSHBUG00000013271
pundamilia_nyererei ENSPNYG00000018988
amphilophus_citrinellus ENSACIG00000023161
