canis_lupus_dingo ENSCAFG00020011947
vulpes_vulpes ENSVVUG00000002035
ursus_americanus ENSUAMG00000002716
ursus_maritimus ENSUMAG00000021769
ailuropoda_melanoleuca ENSAMEG00000006275
panthera_tigris_altaica ENSPTIG00000017997
panthera_pardus ENSPPRG00000002451
felis_catus ENSFCAG00000039776
pteropus_vampyrus ENSPVAG00000011830
bos_mutus ENSBMUG00000002122
bos_taurus ENSBTAG00000050360
bison_bison_bison ENSBBBG00000008072
capra_hircus ENSCHIG00000008513
sus_scrofa ENSSSCG00000039911
procavia_capensis ENSPCAG00000008244
spermophilus_dauricus ENSSDAG00000012337
marmota_marmota_marmota ENSMMMG00000012227
urocitellus_parryii ENSUPAG00010023920
octodon_degus ENSODEG00000008754
cricetulus_griseus_crigri-picr ENSCGRG00015010523
cricetulus_griseus_crigri_1.0 ENSCGRG00000015944
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022732
peromyscus_maniculatus_bairdii ENSPEMG00000025009
microtus_ochrogaster ENSMOCG00000015738
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020290
mus_spicilegus ENSMSIG00000014019
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019398
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030416
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075571
rattus_norvegicus ENSRNOG00000038758
meriones_unguiculatus ENSMUGG00000001390
nannospalax_galili ENSNGAG00000003155
castor_canadensis ENSCCNG00000007196
oryctolagus_cuniculus ENSOCUG00000000221
tupaia_belangeri ENSTBEG00000012992
pan_troglodytes ENSPTRG00000031030
homo_sapiens ENSG00000205883
gorilla_gorilla ENSGGOG00000008293
pongo_abelii ENSPPYG00000018343
nomascus_leucogenys ENSNLEG00000015092
rhinopithecus_roxellana ENSRROG00000028808
rhinopithecus_bieti ENSRBIG00000028499
piliocolobus_tephrosceles ENSPTEG00000031992
macaca_fascicularis ENSMFAG00000040194
macaca_mulatta ENSMMUG00000017581
macaca_nemestrina ENSMNEG00000030941
cercocebus_atys ENSCATG00000031673
theropithecus_gelada ENSTGEG00000015044
papio_anubis ENSPANG00000005416
mandrillus_leucophaeus ENSMLEG00000034549
chlorocebus_sabaeus ENSCSAG00000016954
saimiri_boliviensis_boliviensis ENSSBOG00000013706
cebus_capucinus_imitator ENSCCAG00000020771
callithrix_jacchus ENSCJAG00000003951
carlito_syrichta ENSTSYG00000033932
prolemur_simus ENSPSMG00000011989
microcebus_murinus ENSMICG00000012808
propithecus_coquereli ENSPCOG00000023176
equus_caballus ENSECAG00000037097
equus_asinus_asinus ENSEASG00005016439
myotis_lucifugus ENSMLUG00000028144
choloepus_hoffmanni ENSCHOG00000004001
dasypus_novemcinctus ENSDNOG00000033626
