monodelphis_domestica ENSMODG00000001346
phascolarctos_cinereus ENSPCIG00000008457
sarcophilus_harrisii ENSSHAG00000003669
loxodonta_africana ENSLAFG00000005431
procavia_capensis ENSPCAG00000005191
pan_troglodytes ENSPTRG00000010349
pan_paniscus ENSPPAG00000031186
homo_sapiens ENSG00000187650
gorilla_gorilla ENSGGOG00000038181
pongo_abelii ENSPPYG00000009442
nomascus_leucogenys ENSNLEG00000013795
rhinopithecus_roxellana ENSRROG00000031275
rhinopithecus_bieti ENSRBIG00000035822
piliocolobus_tephrosceles ENSPTEG00000022663
mandrillus_leucophaeus ENSMLEG00000041920
papio_anubis ENSPANG00000032013
cercocebus_atys ENSCATG00000041336
macaca_nemestrina ENSMNEG00000037094
macaca_fascicularis ENSMFAG00000032960
chlorocebus_sabaeus ENSCSAG00000018823
callithrix_jacchus ENSCJAG00000046533
saimiri_boliviensis_boliviensis ENSSBOG00000032055
cebus_capucinus_imitator ENSCCAG00000029347
aotus_nancymaae ENSANAG00000037811
carlito_syrichta ENSTSYG00000032418
microcebus_murinus ENSMICG00000046967
propithecus_coquereli ENSPCOG00000019572
prolemur_simus ENSPSMG00000001763
tupaia_belangeri ENSTBEG00000006054
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023793
cricetulus_griseus_crigri-picr ENSCGRG00015002177
mesocricetus_auratus ENSMAUG00000009455
microtus_ochrogaster ENSMOCG00000001137
mus_spicilegus ENSMSIG00000022334
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022697
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054723
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021786
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020775
rattus_norvegicus ENSRNOG00000048897
meriones_unguiculatus ENSMUGG00000006148
nannospalax_galili ENSNGAG00000016642
jaculus_jaculus ENSJJAG00000021312
castor_canadensis ENSCCNG00000025829
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014583
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003839
fukomys_damarensis ENSFDAG00000018477
chinchilla_lanigera ENSCLAG00000012168
octodon_degus ENSODEG00000014819
cavia_porcellus ENSCPOG00000014675
dipodomys_ordii ENSDORG00000029939
urocitellus_parryii ENSUPAG00010023644
marmota_marmota_marmota ENSMMMG00000019061
ictidomys_tridecemlineatus ENSSTOG00000012822
spermophilus_dauricus ENSSDAG00000009421
capra_hircus ENSCHIG00000004574
ovis_aries ENSOARG00000006953
bos_mutus ENSBMUG00000025986
bos_taurus ENSBTAG00000006067
bison_bison_bison ENSBBBG00000021299
vicugna_pacos ENSVPAG00000002924
tursiops_truncatus ENSTTRG00000007528
sus_scrofa ENSSSCG00000031764
pteropus_vampyrus ENSPVAG00000002842
myotis_lucifugus ENSMLUG00000014883
ursus_americanus ENSUAMG00000022715
ailuropoda_melanoleuca ENSAMEG00000007913
mustela_putorius_furo ENSMPUG00000006261
neovison_vison ENSNVIG00000014779
canis_lupus_dingo ENSCAFG00020019007
canis_lupus_familiaris ENSCAFG00000018751
vulpes_vulpes ENSVVUG00000026915
panthera_pardus ENSPPRG00000001830
panthera_tigris_altaica ENSPTIG00000021327
felis_catus ENSFCAG00000032349
equus_caballus ENSECAG00000001740
equus_asinus_asinus ENSEASG00005023098
dasypus_novemcinctus ENSDNOG00000008836
gopherus_agassizii ENSGAGG00000023544
chelonoidis_abingdonii ENSCABG00000010772
chrysemys_picta_bellii ENSCPBG00000004011
crocodylus_porosus ENSCPRG00005013232
notechis_scutatus ENSNSUG00000016830
pogona_vitticeps ENSPVIG00000017761
salvator_merianae ENSSMRG00000005575
sphenodon_punctatus ENSSPUG00000012056
xenopus_tropicalis ENSXETG00000021884
latimeria_chalumnae ENSLACG00000013726
scleropages_formosus ENSSFOG00015019553
paramormyrops_kingsleyae ENSPKIG00000009107
astyanax_mexicanus ENSAMXG00000034852
pygocentrus_nattereri ENSPNAG00000023839
ictalurus_punctatus ENSIPUG00000007613
danio_rerio ENSDARG00000110997
danio_rerio ENSDARG00000115939
esox_lucius ENSELUG00000021670
lepisosteus_oculatus ENSLOCG00000003155
