mus_musculus_strain_reference_cl57bl6 ENSMUSG00000057805
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034410
mus_spicilegus ENSMSIG00000024978
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033255
mus_spicilegus ENSMSIG00000020832
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031769
mus_spicilegus ENSMSIG00000004805
rattus_norvegicus ENSRNOG00000032738
rattus_norvegicus ENSRNOG00000055898
rattus_norvegicus ENSRNOG00000026697
rattus_norvegicus ENSRNOG00000028880
rattus_norvegicus ENSRNOG00000052270
rattus_norvegicus ENSRNOG00000055606
rattus_norvegicus ENSRNOG00000051633
rattus_norvegicus ENSRNOG00000057166
rattus_norvegicus ENSRNOG00000029935
rattus_norvegicus ENSRNOG00000042281
rattus_norvegicus ENSRNOG00000059144
peromyscus_maniculatus_bairdii ENSPEMG00000026158
