zonotrichia_albicollis ENSZALG00000013381
lonchura_striata_domestica ENSLSDG00000015956
lepidothrix_coronata ENSLCOG00000014639
anas_platyrhynchos_platyrhynchos ENSAPLG00000017829
nothoprocta_perdicaria ENSNPEG00000000408
gopherus_agassizii ENSGAGG00000020413
pogona_vitticeps ENSPVIG00000013229
theropithecus_gelada ENSTGEG00000016328
piliocolobus_tephrosceles ENSPTEG00000027231
prolemur_simus ENSPSMG00000005766
castor_canadensis ENSCCNG00000028050
bison_bison_bison ENSBBBG00000005106
bos_mutus ENSBMUG00000006605
neovison_vison ENSNVIG00000020171
stegastes_partitus ENSSPAG00000020328
amphiprion_percula ENSAPEG00000011063
fundulus_heteroclitus ENSFHEG00000006218
poecilia_reticulata ENSPREG00000023175
monopterus_albus ENSMALG00000020796
scophthalmus_maximus ENSSMAG00000021439
periophthalmus_magnuspinnatus ENSPMGG00000006128
