bos_taurus ENSBTAG00000050302
bos_mutus ENSBMUG00000021684
bison_bison_bison ENSBBBG00000023748
vulpes_vulpes ENSVVUG00000025093
rhinopithecus_bieti ENSRBIG00000032198
nomascus_leucogenys ENSNLEG00000032060
peromyscus_maniculatus_bairdii ENSPEMG00000014680
phascolarctos_cinereus ENSPCIG00000034965
ursus_maritimus ENSUMAG00000004694
ailuropoda_melanoleuca ENSAMEG00000005907
equus_caballus ENSECAG00000009383
anas_platyrhynchos_platyrhynchos ENSAPLG00000027407
gallus_gallus ENSGALG00000004353
calidris_pygmaea ENSCPGG00000004173
pogona_vitticeps ENSPVIG00000011745
salvator_merianae ENSSMRG00000002745
mola_mola ENSMMOG00000008514
poecilia_reticulata ENSPREG00000018858
