astyanax_mexicanus ENSAMXG00000043496
pygocentrus_nattereri ENSPNAG00000015105
ictalurus_punctatus ENSIPUG00000022199
danio_rerio ENSDARG00000068663
mola_mola ENSMMOG00000005797
gasterosteus_aculeatus ENSGACG00000006731
labrus_bergylta ENSLBEG00000027438
cynoglossus_semilaevis ENSCSEG00000012905
scophthalmus_maximus ENSSMAG00000007919
seriola_dumerili ENSSDUG00000013614
seriola_lalandi_dorsalis ENSSLDG00000024014
monopterus_albus ENSMALG00000003955
mastacembelus_armatus ENSMAMG00000018336
cyprinodon_variegatus ENSCVAG00000010240
fundulus_heteroclitus ENSFHEG00000009387
xiphophorus_maculatus ENSXMAG00000021719
xiphophorus_couchianus ENSXCOG00000001486
gambusia_affinis ENSGAFG00000011237
poecilia_formosa ENSPFOG00000005420
poecilia_mexicana ENSPMEG00000002780
poecilia_latipinna ENSPLAG00000002426
poecilia_reticulata ENSPREG00000012780
kryptolebias_marmoratus ENSKMAG00000000612
oryzias_latipes_asm223467v1 ENSORLG00000015855
oryzias_latipes_asm223471v1 ENSORLG00020003248
oryzias_latipes_asm223469v1 ENSORLG00015004465
oryzias_melastigma ENSOMEG00000023341
maylandia_zebra ENSMZEG00005010678
astatotilapia_calliptera ENSACLG00000019946
pundamilia_nyererei ENSPNYG00000016455
haplochromis_burtoni ENSHBUG00000014028
neolamprologus_brichardi ENSNBRG00000003201
oreochromis_niloticus ENSONIG00000004282
amphilophus_citrinellus ENSACIG00000000738
amphiprion_percula ENSAPEG00000013121
amphiprion_ocellaris ENSAOCG00000011330
acanthochromis_polyacanthus ENSAPOG00000004781
stegastes_partitus ENSSPAG00000008576
anabas_testudineus ENSATEG00000001245
takifugu_rubripes ENSTRUG00000003989
tetraodon_nigroviridis ENSTNIG00000016419
hippocampus_comes ENSHCOG00000008131
periophthalmus_magnuspinnatus ENSPMGG00000014500
gadus_morhua ENSGMOG00000000553
esox_lucius ENSELUG00000007179
paramormyrops_kingsleyae ENSPKIG00000009814
scleropages_formosus ENSSFOG00015023018
lepisosteus_oculatus ENSLOCG00000010509
latimeria_chalumnae ENSLACG00000009166
ciona_intestinalis ENSCING00000002014
ciona_savignyi ENSCSAVG00000008522
caenorhabditis_elegans_strain_n2 WBGene00012869
