cyprinodon_variegatus ENSCVAG00000014236
xiphophorus_couchianus ENSXCOG00000017124
oryzias_latipes_asm223469v1 ENSORLG00015012722
oryzias_latipes_asm223471v1 ENSORLG00020007228
oryzias_latipes_asm223467v1 ENSORLG00000027409
acanthochromis_polyacanthus ENSAPOG00000007683
scophthalmus_maximus ENSSMAG00000012089
anabas_testudineus ENSATEG00000019555
amphilophus_citrinellus ENSACIG00000002660
monopterus_albus ENSMALG00000014632
seriola_lalandi_dorsalis ENSSLDG00000018831
seriola_dumerili ENSSDUG00000005839
hippocampus_comes ENSHCOG00000020291
