fundulus_heteroclitus ENSFHEG00000020422
cyprinodon_variegatus ENSCVAG00000022645
xiphophorus_maculatus ENSXMAG00000018788
xiphophorus_couchianus ENSXCOG00000003991
gambusia_affinis ENSGAFG00000007383
poecilia_formosa ENSPFOG00000018271
poecilia_mexicana ENSPMEG00000004980
poecilia_latipinna ENSPLAG00000020546
poecilia_reticulata ENSPREG00000005849
kryptolebias_marmoratus ENSKMAG00000018622
oryzias_latipes_asm223467v1 ENSORLG00000013964
oryzias_latipes_asm223469v1 ENSORLG00015018433
oryzias_latipes_asm223471v1 ENSORLG00020000960
oryzias_melastigma ENSOMEG00000003036
amphiprion_ocellaris ENSAOCG00000021941
amphiprion_percula ENSAPEG00000022043
acanthochromis_polyacanthus ENSAPOG00000002040
stegastes_partitus ENSSPAG00000003774
haplochromis_burtoni ENSHBUG00000020002
pundamilia_nyererei ENSPNYG00000008189
maylandia_zebra ENSMZEG00005009478
astatotilapia_calliptera ENSACLG00000015658
neolamprologus_brichardi ENSNBRG00000009440
oreochromis_niloticus ENSONIG00000017319
amphilophus_citrinellus ENSACIG00000002426
scophthalmus_maximus ENSSMAG00000007550
cynoglossus_semilaevis ENSCSEG00000016374
seriola_lalandi_dorsalis ENSSLDG00000016377
seriola_dumerili ENSSDUG00000000486
mastacembelus_armatus ENSMAMG00000020112
monopterus_albus ENSMALG00000010412
anabas_testudineus ENSATEG00000022718
tetraodon_nigroviridis ENSTNIG00000007633
takifugu_rubripes ENSTRUG00000004233
mola_mola ENSMMOG00000014822
labrus_bergylta ENSLBEG00000015960
gasterosteus_aculeatus ENSGACG00000020799
hippocampus_comes ENSHCOG00000010690
periophthalmus_magnuspinnatus ENSPMGG00000011111
gadus_morhua ENSGMOG00000012942
esox_lucius ENSELUG00000011441
pygocentrus_nattereri ENSPNAG00000015921
astyanax_mexicanus ENSAMXG00000006962
ictalurus_punctatus ENSIPUG00000006955
danio_rerio ENSDARG00000069105
paramormyrops_kingsleyae ENSPKIG00000009221
scleropages_formosus ENSSFOG00015010244
paramormyrops_kingsleyae ENSPKIG00000016646
lepisosteus_oculatus ENSLOCG00000012293
meleagris_gallopavo ENSMGAG00000004380
latimeria_chalumnae ENSLACG00000009607
