astyanax_mexicanus ENSAMXG00000041589
ictalurus_punctatus ENSIPUG00000011036
danio_rerio ENSDARG00000063283
maylandia_zebra ENSMZEG00005009682
pundamilia_nyererei ENSPNYG00000018853
astatotilapia_calliptera ENSACLG00000013473
haplochromis_burtoni ENSHBUG00000022733
neolamprologus_brichardi ENSNBRG00000021974
oreochromis_niloticus ENSONIG00000019909
amphilophus_citrinellus ENSACIG00000001082
takifugu_rubripes ENSTRUG00000016469
tetraodon_nigroviridis ENSTNIG00000019563
poecilia_latipinna ENSPLAG00000022155
poecilia_mexicana ENSPMEG00000019304
poecilia_formosa ENSPFOG00000016079
gambusia_affinis ENSGAFG00000008613
cyprinodon_variegatus ENSCVAG00000005359
fundulus_heteroclitus ENSFHEG00000006361
mola_mola ENSMMOG00000002606
gasterosteus_aculeatus ENSGACG00000009932
kryptolebias_marmoratus ENSKMAG00000009898
scophthalmus_maximus ENSSMAG00000011400
cynoglossus_semilaevis ENSCSEG00000012844
seriola_lalandi_dorsalis ENSSLDG00000008540
seriola_lalandi_dorsalis ENSSLDG00000022602
seriola_dumerili ENSSDUG00000003659
hippocampus_comes ENSHCOG00000013204
amphiprion_percula ENSAPEG00000004973
amphiprion_ocellaris ENSAOCG00000021839
acanthochromis_polyacanthus ENSAPOG00000006249
stegastes_partitus ENSSPAG00000008103
oryzias_latipes_asm223467v1 ENSORLG00000004315
oryzias_latipes_asm223469v1 ENSORLG00015018950
oryzias_melastigma ENSOMEG00000005247
labrus_bergylta ENSLBEG00000014859
periophthalmus_magnuspinnatus ENSPMGG00000004294
monopterus_albus ENSMALG00000003757
gadus_morhua ENSGMOG00000013344
