astatotilapia_calliptera ENSACLG00000001373
haplochromis_burtoni ENSHBUG00000013871
maylandia_zebra ENSMZEG00005025766
neolamprologus_brichardi ENSNBRG00000018564
poecilia_latipinna ENSPLAG00000023539
poecilia_reticulata ENSPREG00000014186
poecilia_mexicana ENSPMEG00000008694
gambusia_affinis ENSGAFG00000016051
cyprinodon_variegatus ENSCVAG00000005645
fundulus_heteroclitus ENSFHEG00000003937
oryzias_latipes_asm223471v1 ENSORLG00020020061
oryzias_latipes_asm223469v1 ENSORLG00015015429
oryzias_latipes_asm223467v1 ENSORLG00000024088
oryzias_melastigma ENSOMEG00000018407
anabas_testudineus ENSATEG00000011245
amphilophus_citrinellus ENSACIG00000014401
mola_mola ENSMMOG00000008847
hippocampus_comes ENSHCOG00000017167
periophthalmus_magnuspinnatus ENSPMGG00000011404
pygocentrus_nattereri ENSPNAG00000016083
