spermophilus_dauricus ENSSDAG00000021422
gopherus_agassizii ENSGAGG00000023515
paramormyrops_kingsleyae ENSPKIG00000016025
oreochromis_niloticus ENSONIG00000019676
poecilia_formosa ENSPFOG00000006155
takifugu_rubripes ENSTRUG00000007482
amphilophus_citrinellus ENSACIG00000006987
poecilia_latipinna ENSPLAG00000020971
monopterus_albus ENSMALG00000009155
mastacembelus_armatus ENSMAMG00000002176
neolamprologus_brichardi ENSNBRG00000018065
amphiprion_percula ENSAPEG00000009481
oryzias_latipes_asm223471v1 ENSORLG00020008496
oryzias_latipes_asm223467v1 ENSORLG00000002306
oryzias_latipes_asm223469v1 ENSORLG00015015719
oryzias_melastigma ENSOMEG00000007677
cyprinodon_variegatus ENSCVAG00000022814
mola_mola ENSMMOG00000015071
hippocampus_comes ENSHCOG00000007894
scophthalmus_maximus ENSSMAG00000020065
labrus_bergylta ENSLBEG00000027388
tetraodon_nigroviridis ENSTNIG00000013818
gasterosteus_aculeatus ENSGACG00000003155
amphiprion_ocellaris ENSAOCG00000024104
acanthochromis_polyacanthus ENSAPOG00000003432
stegastes_partitus ENSSPAG00000003983
pundamilia_nyererei ENSPNYG00000012624
haplochromis_burtoni ENSHBUG00000019785
astatotilapia_calliptera ENSACLG00000008976
maylandia_zebra ENSMZEG00005026469
anabas_testudineus ENSATEG00000008433
seriola_lalandi_dorsalis ENSSLDG00000013224
seriola_dumerili ENSSDUG00000019287
kryptolebias_marmoratus ENSKMAG00000012586
cynoglossus_semilaevis ENSCSEG00000014677
poecilia_mexicana ENSPMEG00000002993
poecilia_reticulata ENSPREG00000018221
gambusia_affinis ENSGAFG00000003329
xiphophorus_maculatus ENSXMAG00000014382
xiphophorus_couchianus ENSXCOG00000019600
gadus_morhua ENSGMOG00000002600
esox_lucius ENSELUG00000006905
scleropages_formosus ENSSFOG00015008578
paramormyrops_kingsleyae ENSPKIG00000007989
pygocentrus_nattereri ENSPNAG00000001800
astyanax_mexicanus ENSAMXG00000020388
ictalurus_punctatus ENSIPUG00000017680
danio_rerio ENSDARG00000044574
monopterus_albus ENSMALG00000019536
mastacembelus_armatus ENSMAMG00000024043
anabas_testudineus ENSATEG00000024295
seriola_dumerili ENSSDUG00000013656
seriola_lalandi_dorsalis ENSSLDG00000020276
gasterosteus_aculeatus ENSGACG00000006377
cynoglossus_semilaevis ENSCSEG00000010011
scophthalmus_maximus ENSSMAG00000004997
mola_mola ENSMMOG00000008471
labrus_bergylta ENSLBEG00000006677
