periophthalmus_magnuspinnatus ENSPMGG00000000195
cynoglossus_semilaevis ENSCSEG00000007686
tetraodon_nigroviridis ENSTNIG00000004408
tetraodon_nigroviridis ENSTNIG00000004366
takifugu_rubripes ENSTRUG00000002188
tetraodon_nigroviridis ENSTNIG00000006865
tetraodon_nigroviridis ENSTNIG00000007405
tetraodon_nigroviridis ENSTNIG00000000303
tetraodon_nigroviridis ENSTNIG00000017079
esox_lucius ENSELUG00000010036
pogona_vitticeps ENSPVIG00000010716
salvator_merianae ENSSMRG00000002880
sphenodon_punctatus ENSSPUG00000018309
chelonoidis_abingdonii ENSCABG00000002419
gopherus_agassizii ENSGAGG00000005277
chrysemys_picta_bellii ENSCPBG00000004702
pelodiscus_sinensis ENSPSIG00000008719
phascolarctos_cinereus ENSPCIG00000028856
notamacropus_eugenii ENSMEUG00000010780
sarcophilus_harrisii ENSSHAG00000015756
monodelphis_domestica ENSMODG00000007090
urocitellus_parryii ENSUPAG00010003023
dipodomys_ordii ENSDORG00000025484
octodon_degus ENSODEG00000000615
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002170
pan_troglodytes ENSPTRG00000046663
nomascus_leucogenys ENSNLEG00000030968
rhinopithecus_bieti ENSRBIG00000038720
pan_paniscus ENSPPAG00000003031
gorilla_gorilla ENSGGOG00000036780
rhinopithecus_bieti ENSRBIG00000029460
callithrix_jacchus ENSCJAG00000044580
callithrix_jacchus ENSCJAG00000042507
prolemur_simus ENSPSMG00000022702
bison_bison_bison ENSBBBG00000014828
vulpes_vulpes ENSVVUG00000018854
mesocricetus_auratus ENSMAUG00000017649
ornithorhynchus_anatinus ENSOANG00000004333
junco_hyemalis ENSJHYG00000002127
cyanistes_caeruleus ENSCCEG00000003956
calidris_pugnax ENSCPUG00000009700
calidris_pugnax ENSCPUG00000009699
calidris_pugnax ENSCPUG00000014614
parus_major ENSPMJG00000002013
anas_platyrhynchos_platyrhynchos ENSAPLG00000005716
rhinopithecus_bieti ENSRBIG00000044495
colobus_angolensis_palliatus ENSCANG00000014450
pan_troglodytes ENSPTRG00000008694
carlito_syrichta ENSTSYG00000004557
microtus_ochrogaster ENSMOCG00000007064
sorex_araneus ENSSARG00000006017
erinaceus_europaeus ENSEEUG00000003581
papio_anubis ENSPANG00000024093
chlorocebus_sabaeus ENSCSAG00000011468
theropithecus_gelada ENSTGEG00000024387
nomascus_leucogenys ENSNLEG00000009547
aotus_nancymaae ENSANAG00000035392
callithrix_jacchus ENSCJAG00000015114
propithecus_coquereli ENSPCOG00000012349
cricetulus_griseus_crigri_1.0 ENSCGRG00000007204
cricetulus_griseus_crigri-picr ENSCGRG00015009877
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009326
octodon_degus ENSODEG00000012713
canis_lupus_dingo ENSCAFG00020007858
felis_catus ENSFCAG00000024897
capra_hircus ENSCHIG00000022153
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011735
peromyscus_maniculatus_bairdii ENSPEMG00000009100
ictidomys_tridecemlineatus ENSSTOG00000024814
dipodomys_ordii ENSDORG00000014225
cercocebus_atys ENSCATG00000041861
pteropus_vampyrus ENSPVAG00000016297
sus_scrofa ENSSSCG00000017957
panthera_pardus ENSPPRG00000006906
neovison_vison ENSNVIG00000003608
marmota_marmota_marmota ENSMMMG00000019682
pongo_abelii ENSPPYG00000007926
macaca_fascicularis ENSMFAG00000039010
macaca_nemestrina ENSMNEG00000035880
mandrillus_leucophaeus ENSMLEG00000032647
saimiri_boliviensis_boliviensis ENSSBOG00000023267
mus_spicilegus ENSMSIG00000025748
meriones_unguiculatus ENSMUGG00000015179
ovis_aries ENSOARG00000014476
bos_taurus ENSBTAG00000000132
ursus_americanus ENSUAMG00000003583
homo_sapiens ENSG00000161960
gorilla_gorilla ENSGGOG00000024702
rhinopithecus_roxellana ENSRROG00000032175
prolemur_simus ENSPSMG00000019175
spermophilus_dauricus ENSSDAG00000002920
urocitellus_parryii ENSUPAG00010015286
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059796
oryctolagus_cuniculus ENSOCUG00000010375
bison_bison_bison ENSBBBG00000011799
ailuropoda_melanoleuca ENSAMEG00000016753
pan_paniscus ENSPPAG00000039921
tursiops_truncatus ENSTTRG00000010208
rattus_norvegicus ENSRNOG00000030628
mus_spicilegus ENSMSIG00000030734
nannospalax_galili ENSNGAG00000018330
bos_mutus ENSBMUG00000021378
microcebus_murinus ENSMICG00000014759
sorex_araneus ENSSARG00000000896
vulpes_vulpes ENSVVUG00000018771
nannospalax_galili ENSNGAG00000019721
otolemur_garnettii ENSOGAG00000031869
pan_paniscus ENSPPAG00000038939
pan_troglodytes ENSPTRG00000048517
gorilla_gorilla ENSGGOG00000024256
nomascus_leucogenys ENSNLEG00000029784
rhinopithecus_bieti ENSRBIG00000021813
ochotona_princeps ENSOPRG00000008591
macaca_mulatta ENSMMUG00000013499
mustela_putorius_furo ENSMPUG00000009529
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013114
aotus_nancymaae ENSANAG00000021271
saimiri_boliviensis_boliviensis ENSSBOG00000021265
vicugna_pacos ENSVPAG00000000142
equus_caballus ENSECAG00000021478
panthera_tigris_altaica ENSPTIG00000012373
octodon_degus ENSODEG00000017512
urocitellus_parryii ENSUPAG00010006721
microtus_ochrogaster ENSMOCG00000004330
cricetulus_griseus_crigri-picr ENSCGRG00015015324
castor_canadensis ENSCCNG00000017357
fukomys_damarensis ENSFDAG00000008700
ursus_maritimus ENSUMAG00000016558
chinchilla_lanigera ENSCLAG00000006786
microtus_ochrogaster ENSMOCG00000012425
rhinopithecus_roxellana ENSRROG00000028953
rhinopithecus_bieti ENSRBIG00000040184
colobus_angolensis_palliatus ENSCANG00000037365
mandrillus_leucophaeus ENSMLEG00000040863
cercocebus_atys ENSCATG00000034470
macaca_nemestrina ENSMNEG00000030284
macaca_fascicularis ENSMFAG00000034128
papio_anubis ENSPANG00000033623
rhinopithecus_bieti ENSRBIG00000041807
colobus_angolensis_palliatus ENSCANG00000040974
macaca_mulatta ENSMMUG00000038680
callithrix_jacchus ENSCJAG00000020470
carlito_syrichta ENSTSYG00000035965
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024111
cricetulus_griseus_crigri_1.0 ENSCGRG00000017848
peromyscus_maniculatus_bairdii ENSPEMG00000015813
cavia_aperea ENSCAPG00000000231
cavia_porcellus ENSCPOG00000039987
pan_troglodytes ENSPTRG00000043870
pan_troglodytes ENSPTRG00000051629
pan_paniscus ENSPPAG00000040878
gorilla_gorilla ENSGGOG00000025897
carlito_syrichta ENSTSYG00000028202
propithecus_coquereli ENSPCOG00000026844
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015815
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000690
fukomys_damarensis ENSFDAG00000011419
octodon_degus ENSODEG00000006150
cricetulus_griseus_crigri_1.0 ENSCGRG00000003437
cricetulus_griseus_crigri-picr ENSCGRG00015023356
rhinopithecus_bieti ENSRBIG00000038269
rhinopithecus_roxellana ENSRROG00000004632
pan_paniscus ENSPPAG00000035131
cebus_capucinus_imitator ENSCCAG00000029117
myotis_lucifugus ENSMLUG00000027970
cebus_capucinus_imitator ENSCCAG00000035301
nannospalax_galili ENSNGAG00000017979
felis_catus ENSFCAG00000029768
panthera_pardus ENSPPRG00000003400
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002547
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009429
rhinopithecus_roxellana ENSRROG00000008751
vulpes_vulpes ENSVVUG00000018822
equus_asinus_asinus ENSEASG00005019235
myotis_lucifugus ENSMLUG00000003415
otolemur_garnettii ENSOGAG00000008132
jaculus_jaculus ENSJJAG00000008682
mesocricetus_auratus ENSMAUG00000000782
octodon_degus ENSODEG00000019586
nomascus_leucogenys ENSNLEG00000018739
piliocolobus_tephrosceles ENSPTEG00000001018
oryctolagus_cuniculus ENSOCUG00000029227
microcebus_murinus ENSMICG00000044950
cavia_aperea ENSCAPG00000012540
piliocolobus_tephrosceles ENSPTEG00000016342
canis_lupus_familiaris ENSCAFG00000004690
loxodonta_africana ENSLAFG00000029547
jaculus_jaculus ENSJJAG00000022783
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017713
cavia_porcellus ENSCPOG00000004900
canis_lupus_familiaris ENSCAFG00000016632
loxodonta_africana ENSLAFG00000001107
procavia_capensis ENSPCAG00000012966
dasypus_novemcinctus ENSDNOG00000044619
pan_paniscus ENSPPAG00000027347
pan_troglodytes ENSPTRG00000050879
gorilla_gorilla ENSGGOG00000037488
