castor_canadensis ENSCCNG00000014517
dipodomys_ordii ENSDORG00000004028
marmota_marmota_marmota ENSMMMG00000006974
ictidomys_tridecemlineatus ENSSTOG00000008661
urocitellus_parryii ENSUPAG00010004744
spermophilus_dauricus ENSSDAG00000014230
mus_spicilegus ENSMSIG00000018486
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028399
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029378
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027402
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017180
rattus_norvegicus ENSRNOG00000002754
meriones_unguiculatus ENSMUGG00000005323
peromyscus_maniculatus_bairdii ENSPEMG00000011814
microtus_ochrogaster ENSMOCG00000000240
cricetulus_griseus_crigri-picr ENSCGRG00015010669
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000398
cricetulus_griseus_crigri_1.0 ENSCGRG00000007006
mesocricetus_auratus ENSMAUG00000012712
nannospalax_galili ENSNGAG00000001895
jaculus_jaculus ENSJJAG00000023793
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007614
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011242
fukomys_damarensis ENSFDAG00000006609
chinchilla_lanigera ENSCLAG00000005654
octodon_degus ENSODEG00000006514
cavia_porcellus ENSCPOG00000025893
cavia_aperea ENSCAPG00000007482
oryctolagus_cuniculus ENSOCUG00000016286
ochotona_princeps ENSOPRG00000007273
tupaia_belangeri ENSTBEG00000008270
ursus_maritimus ENSUMAG00000006713
ailuropoda_melanoleuca ENSAMEG00000014350
mustela_putorius_furo ENSMPUG00000009103
neovison_vison ENSNVIG00000014815
vulpes_vulpes ENSVVUG00000014743
canis_lupus_familiaris ENSCAFG00000003075
panthera_pardus ENSPPRG00000003555
panthera_tigris_altaica ENSPTIG00000005541
felis_catus ENSFCAG00000000370
pteropus_vampyrus ENSPVAG00000010573
myotis_lucifugus ENSMLUG00000015482
capra_hircus ENSCHIG00000015847
ovis_aries ENSOARG00000015052
bos_taurus ENSBTAG00000018134
bos_mutus ENSBMUG00000002123
bison_bison_bison ENSBBBG00000017367
tursiops_truncatus ENSTTRG00000011712
sus_scrofa ENSSSCG00000008963
equus_asinus_asinus ENSEASG00005016540
equus_caballus ENSECAG00000022525
erinaceus_europaeus ENSEEUG00000015276
erinaceus_europaeus ENSEEUG00000007847
sorex_araneus ENSSARG00000012376
propithecus_coquereli ENSPCOG00000013275
microcebus_murinus ENSMICG00000012594
otolemur_garnettii ENSOGAG00000027839
homo_sapiens ENSG00000109321
pongo_abelii ENSPPYG00000014838
chlorocebus_sabaeus ENSCSAG00000004723
aotus_nancymaae ENSANAG00000033436
pan_paniscus ENSPPAG00000042381
pan_troglodytes ENSPTRG00000016167
gorilla_gorilla ENSGGOG00000010528
nomascus_leucogenys ENSNLEG00000007940
rhinopithecus_roxellana ENSRROG00000043446
rhinopithecus_bieti ENSRBIG00000041326
colobus_angolensis_palliatus ENSCANG00000043025
piliocolobus_tephrosceles ENSPTEG00000014838
macaca_nemestrina ENSMNEG00000036633
macaca_mulatta ENSMMUG00000002314
macaca_fascicularis ENSMFAG00000039089
theropithecus_gelada ENSTGEG00000014223
papio_anubis ENSPANG00000002087
cercocebus_atys ENSCATG00000035339
mandrillus_leucophaeus ENSMLEG00000029034
callithrix_jacchus ENSCJAG00000013848
cebus_capucinus_imitator ENSCCAG00000036888
saimiri_boliviensis_boliviensis ENSSBOG00000005982
carlito_syrichta ENSTSYG00000010047
prolemur_simus ENSPSMG00000013044
ursus_americanus ENSUAMG00000012960
canis_lupus_dingo ENSCAFG00020026895
choloepus_hoffmanni ENSCHOG00000003955
dasypus_novemcinctus ENSDNOG00000019868
loxodonta_africana ENSLAFG00000013913
procavia_capensis ENSPCAG00000012481
echinops_telfairi ENSETEG00000011844
phascolarctos_cinereus ENSPCIG00000007054
notamacropus_eugenii ENSMEUG00000003885
sarcophilus_harrisii ENSSHAG00000006150
monodelphis_domestica ENSMODG00000019194
ornithorhynchus_anatinus ENSOANG00000006918
gopherus_agassizii ENSGAGG00000023238
chelonoidis_abingdonii ENSCABG00000003256
chrysemys_picta_bellii ENSCPBG00000013495
pelodiscus_sinensis ENSPSIG00000008602
apteryx_haastii ENSAHAG00000002913
apteryx_rowi ENSARWG00000002801
apteryx_owenii ENSAOWG00000013332
dromaius_novaehollandiae ENSDNVG00000000547
nothoprocta_perdicaria ENSNPEG00000004154
calidris_pygmaea ENSCPGG00000001663
calidris_pugnax ENSCPUG00000003357
melopsittacus_undulatus ENSMUNG00000009150
lonchura_striata_domestica ENSLSDG00000018044
taeniopygia_guttata ENSTGUG00000001551
junco_hyemalis ENSJHYG00000004510
zonotrichia_albicollis ENSZALG00000003941
ficedula_albicollis ENSFALG00000008151
parus_major ENSPMJG00000000608
cyanistes_caeruleus ENSCCEG00000021531
lepidothrix_coronata ENSLCOG00000007799
manacus_vitellinus ENSMVIG00005019127
anas_platyrhynchos_platyrhynchos ENSAPLG00000017459
anser_brachyrhynchus ENSABRG00000007134
meleagris_gallopavo ENSMGAG00000007140
coturnix_japonica ENSCJPG00005009972
gallus_gallus ENSGALG00000010866
numida_meleagris ENSNMEG00000014871
serinus_canaria ENSSCAG00000004794
crocodylus_porosus ENSCPRG00005007297
pogona_vitticeps ENSPVIG00000004448
anolis_carolinensis ENSACAG00000029391
salvator_merianae ENSSMRG00000017716
xenopus_tropicalis ENSXETG00000033272
latimeria_chalumnae ENSLACG00000007690
