mastacembelus_armatus ENSMAMG00000013326
monopterus_albus ENSMALG00000014093
anabas_testudineus ENSATEG00000013717
seriola_lalandi_dorsalis ENSSLDG00000013257
seriola_dumerili ENSSDUG00000020300
scophthalmus_maximus ENSSMAG00000018947
astatotilapia_calliptera ENSACLG00000018156
haplochromis_burtoni ENSHBUG00000023438
maylandia_zebra ENSMZEG00005020657
pundamilia_nyererei ENSPNYG00000012286
oreochromis_niloticus ENSONIG00000003127
amphilophus_citrinellus ENSACIG00000000534
amphiprion_ocellaris ENSAOCG00000022749
amphiprion_percula ENSAPEG00000016965
stegastes_partitus ENSSPAG00000013760
acanthochromis_polyacanthus ENSAPOG00000001775
poecilia_mexicana ENSPMEG00000017886
poecilia_formosa ENSPFOG00000018688
poecilia_reticulata ENSPREG00000018283
xiphophorus_maculatus ENSXMAG00000013866
gambusia_affinis ENSGAFG00000019227
cyprinodon_variegatus ENSCVAG00000013806
kryptolebias_marmoratus ENSKMAG00000013762
oryzias_latipes_asm223467v1 ENSORLG00000016281
oryzias_latipes_asm223471v1 ENSORLG00020018014
oryzias_latipes_asm223469v1 ENSORLG00015013623
oryzias_melastigma ENSOMEG00000005255
mola_mola ENSMMOG00000006028
takifugu_rubripes ENSTRUG00000013437
labrus_bergylta ENSLBEG00000023037
gadus_morhua ENSGMOG00000012008
esox_lucius ENSELUG00000005999
pygocentrus_nattereri ENSPNAG00000026309
astyanax_mexicanus ENSAMXG00000000917
ictalurus_punctatus ENSIPUG00000001337
