xiphophorus_couchianus ENSXCOG00000002119
xiphophorus_maculatus ENSXMAG00000013749
gambusia_affinis ENSGAFG00000016506
poecilia_formosa ENSPFOG00000017644
poecilia_mexicana ENSPMEG00000008797
poecilia_reticulata ENSPREG00000008281
poecilia_latipinna ENSPLAG00000017115
fundulus_heteroclitus ENSFHEG00000002215
cyprinodon_variegatus ENSCVAG00000013661
kryptolebias_marmoratus ENSKMAG00000014130
oryzias_latipes_asm223469v1 ENSORLG00015009899
oryzias_latipes_asm223467v1 ENSORLG00000030061
oryzias_melastigma ENSOMEG00000016827
amphiprion_percula ENSAPEG00000001473
amphiprion_ocellaris ENSAOCG00000003835
acanthochromis_polyacanthus ENSAPOG00000009932
stegastes_partitus ENSSPAG00000001774
gasterosteus_aculeatus ENSGACG00000017294
anabas_testudineus ENSATEG00000022426
monopterus_albus ENSMALG00000003336
seriola_lalandi_dorsalis ENSSLDG00000009695
seriola_dumerili ENSSDUG00000002750
mastacembelus_armatus ENSMAMG00000017150
mola_mola ENSMMOG00000008226
labrus_bergylta ENSLBEG00000019567
scophthalmus_maximus ENSSMAG00000004208
takifugu_rubripes ENSTRUG00000009403
tetraodon_nigroviridis ENSTNIG00000004761
cynoglossus_semilaevis ENSCSEG00000007996
pundamilia_nyererei ENSPNYG00000008928
haplochromis_burtoni ENSHBUG00000000577
astatotilapia_calliptera ENSACLG00000001945
maylandia_zebra ENSMZEG00005016862
neolamprologus_brichardi ENSNBRG00000016448
oreochromis_niloticus ENSONIG00000015680
amphilophus_citrinellus ENSACIG00000002669
hippocampus_comes ENSHCOG00000005524
periophthalmus_magnuspinnatus ENSPMGG00000013753
gadus_morhua ENSGMOG00000015010
esox_lucius ENSELUG00000019531
pygocentrus_nattereri ENSPNAG00000014505
astyanax_mexicanus ENSAMXG00000006190
ictalurus_punctatus ENSIPUG00000019649
danio_rerio ENSDARG00000036140
scleropages_formosus ENSSFOG00015008536
lepisosteus_oculatus ENSLOCG00000013888
latimeria_chalumnae ENSLACG00000004693
