chlorocebus_sabaeus ENSCSAG00000005097
pongo_abelii ENSPPYG00000008666
callithrix_jacchus ENSCJAG00000047281
homo_sapiens ENSG00000182534
gorilla_gorilla ENSGGOG00000014352
pan_paniscus ENSPPAG00000036612
pan_troglodytes ENSPTRG00000009689
nomascus_leucogenys ENSNLEG00000002532
mandrillus_leucophaeus ENSMLEG00000029529
colobus_angolensis_palliatus ENSCANG00000002650
cebus_capucinus_imitator ENSCCAG00000033820
ochotona_princeps ENSOPRG00000011143
tursiops_truncatus ENSTTRG00000001706
pteropus_vampyrus ENSPVAG00000014258
dasypus_novemcinctus ENSDNOG00000044757
