macaca_fascicularis ENSMFAG00000041062
macaca_mulatta ENSMMUG00000044440
macaca_nemestrina ENSMNEG00000033244
theropithecus_gelada ENSTGEG00000007352
mandrillus_leucophaeus ENSMLEG00000036717
cercocebus_atys ENSCATG00000030890
colobus_angolensis_palliatus ENSCANG00000029981
piliocolobus_tephrosceles ENSPTEG00000000019
rhinopithecus_roxellana ENSRROG00000017194
rhinopithecus_bieti ENSRBIG00000030141
nomascus_leucogenys ENSNLEG00000029376
cebus_capucinus_imitator ENSCCAG00000025798
aotus_nancymaae ENSANAG00000024901
prolemur_simus ENSPSMG00000008687
mus_spicilegus ENSMSIG00000018144
rattus_norvegicus ENSRNOG00000015367
meriones_unguiculatus ENSMUGG00000017128
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011724
cricetulus_griseus_crigri_1.0 ENSCGRG00000010288
microtus_ochrogaster ENSMOCG00000012109
nannospalax_galili ENSNGAG00000017581
cavia_aperea ENSCAPG00000011450
marmota_marmota_marmota ENSMMMG00000019976
urocitellus_parryii ENSUPAG00010016019
neovison_vison ENSNVIG00000017536
ursus_americanus ENSUAMG00000022823
canis_lupus_dingo ENSCAFG00020018349
vulpes_vulpes ENSVVUG00000011178
panthera_pardus ENSPPRG00000020818
felis_catus ENSFCAG00000033324
bos_taurus ENSBTAG00000050851
bos_mutus ENSBMUG00000007018
capra_hircus ENSCHIG00000010195
sus_scrofa ENSSSCG00000036100
equus_caballus ENSECAG00000019184
equus_asinus_asinus ENSEASG00005015200
