cercocebus_atys ENSCATG00000030887
macaca_nemestrina ENSMNEG00000029346
rhinopithecus_roxellana ENSRROG00000045476
rhinopithecus_bieti ENSRBIG00000032409
microcebus_murinus ENSMICG00000030606
propithecus_coquereli ENSPCOG00000007681
microtus_ochrogaster ENSMOCG00000000745
ochotona_princeps ENSOPRG00000004938
vicugna_pacos ENSVPAG00000004277
sus_scrofa ENSSSCG00000034869
bison_bison_bison ENSBBBG00000010424
canis_lupus_familiaris ENSCAFG00000030449
microcebus_murinus ENSMICG00000033823
jaculus_jaculus ENSJJAG00000014645
choloepus_hoffmanni ENSCHOG00000007308
echinops_telfairi ENSETEG00000009664
