amphiprion_percula ENSAPEG00000014407
amphiprion_ocellaris ENSAOCG00000017457
stegastes_partitus ENSSPAG00000012162
acanthochromis_polyacanthus ENSAPOG00000004265
maylandia_zebra ENSMZEG00005013058
pundamilia_nyererei ENSPNYG00000012268
astatotilapia_calliptera ENSACLG00000021126
haplochromis_burtoni ENSHBUG00000015859
oreochromis_niloticus ENSONIG00000003843
mola_mola ENSMMOG00000009017
seriola_dumerili ENSSDUG00000004673
seriola_lalandi_dorsalis ENSSLDG00000009844
mastacembelus_armatus ENSMAMG00000022921
anabas_testudineus ENSATEG00000002370
monopterus_albus ENSMALG00000012822
poecilia_reticulata ENSPREG00000003464
poecilia_latipinna ENSPLAG00000015601
gambusia_affinis ENSGAFG00000007060
xiphophorus_couchianus ENSXCOG00000005619
poecilia_mexicana ENSPMEG00000000194
xiphophorus_maculatus ENSXMAG00000029384
cyprinodon_variegatus ENSCVAG00000004088
oryzias_latipes_asm223467v1 ENSORLG00000027025
oryzias_latipes_asm223469v1 ENSORLG00015002086
labrus_bergylta ENSLBEG00000002262
gasterosteus_aculeatus ENSGACG00000009549
esox_lucius ENSELUG00000011438
pygocentrus_nattereri ENSPNAG00000017801
astyanax_mexicanus ENSAMXG00000034315
ictalurus_punctatus ENSIPUG00000018442
danio_rerio ENSDARG00000057887
paramormyrops_kingsleyae ENSPKIG00000024177
lepisosteus_oculatus ENSLOCG00000016345
tursiops_truncatus ENSTTRG00000004424
sus_scrofa ENSSSCG00000000932
capra_hircus ENSCHIG00000015085
ovis_aries ENSOARG00000015403
bos_mutus ENSBMUG00000024659
bos_taurus ENSBTAG00000005305
bison_bison_bison ENSBBBG00000019020
vicugna_pacos ENSVPAG00000008084
equus_asinus_asinus ENSEASG00005021206
equus_caballus ENSECAG00000010879
pteropus_vampyrus ENSPVAG00000006900
myotis_lucifugus ENSMLUG00000008733
ursus_americanus ENSUAMG00000024063
ursus_maritimus ENSUMAG00000001768
ailuropoda_melanoleuca ENSAMEG00000006112
neovison_vison ENSNVIG00000000561
mustela_putorius_furo ENSMPUG00000007706
canis_lupus_familiaris ENSCAFG00000005976
canis_lupus_dingo ENSCAFG00020016223
vulpes_vulpes ENSVVUG00000011394
panthera_pardus ENSPPRG00000001124
panthera_tigris_altaica ENSPTIG00000020009
felis_catus ENSFCAG00000031116
erinaceus_europaeus ENSEEUG00000005232
sorex_araneus ENSSARG00000010508
homo_sapiens ENSG00000133636
gorilla_gorilla ENSGGOG00000010239
pan_paniscus ENSPPAG00000032540
pan_troglodytes ENSPTRG00000005274
pongo_abelii ENSPPYG00000004810
nomascus_leucogenys ENSNLEG00000005388
macaca_fascicularis ENSMFAG00000024858
macaca_mulatta ENSMMUG00000023155
macaca_nemestrina ENSMNEG00000040065
mandrillus_leucophaeus ENSMLEG00000035028
cercocebus_atys ENSCATG00000039653
theropithecus_gelada ENSTGEG00000000228
papio_anubis ENSPANG00000020392
chlorocebus_sabaeus ENSCSAG00000003836
colobus_angolensis_palliatus ENSCANG00000028747
piliocolobus_tephrosceles ENSPTEG00000037566
rhinopithecus_roxellana ENSRROG00000045150
rhinopithecus_bieti ENSRBIG00000036746
cebus_capucinus_imitator ENSCCAG00000027948
saimiri_boliviensis_boliviensis ENSSBOG00000032612
callithrix_jacchus ENSCJAG00000046622
aotus_nancymaae ENSANAG00000030448
carlito_syrichta ENSTSYG00000005385
microcebus_murinus ENSMICG00000037863
propithecus_coquereli ENSPCOG00000015968
prolemur_simus ENSPSMG00000004504
otolemur_garnettii ENSOGAG00000003210
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009484
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001320
fukomys_damarensis ENSFDAG00000013958
octodon_degus ENSODEG00000008426
chinchilla_lanigera ENSCLAG00000007844
cavia_porcellus ENSCPOG00000006576
urocitellus_parryii ENSUPAG00010013159
ictidomys_tridecemlineatus ENSSTOG00000010252
spermophilus_dauricus ENSSDAG00000017854
marmota_marmota_marmota ENSMMMG00000000924
dipodomys_ordii ENSDORG00000016284
castor_canadensis ENSCCNG00000008508
cricetulus_griseus_crigri-picr ENSCGRG00015008330
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018348
cricetulus_griseus_crigri_1.0 ENSCGRG00000005280
mesocricetus_auratus ENSMAUG00000013146
microtus_ochrogaster ENSMOCG00000000690
peromyscus_maniculatus_bairdii ENSPEMG00000024525
mus_spicilegus ENSMSIG00000023197
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016596
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019890
