neovison_vison ENSNVIG00000023219
ursus_americanus ENSUAMG00000018076
canis_lupus_dingo ENSCAFG00020025926
canis_lupus_familiaris ENSCAFG00000019335
felis_catus ENSFCAG00000026627
panthera_pardus ENSPPRG00000013129
bos_taurus ENSBTAG00000034368
bos_mutus ENSBMUG00000014661
capra_hircus ENSCHIG00000010026
sus_scrofa ENSSSCG00000030518
tursiops_truncatus ENSTTRG00000015472
equus_caballus ENSECAG00000005125
equus_asinus_asinus ENSEASG00005006015
pteropus_vampyrus ENSPVAG00000010780
myotis_lucifugus ENSMLUG00000015577
homo_sapiens ENSG00000103355
gorilla_gorilla ENSGGOG00000015312
pongo_abelii ENSPPYG00000007014
colobus_angolensis_palliatus ENSCANG00000024893
piliocolobus_tephrosceles ENSPTEG00000031319
rhinopithecus_roxellana ENSRROG00000038974
rhinopithecus_bieti ENSRBIG00000041458
mandrillus_leucophaeus ENSMLEG00000044069
theropithecus_gelada ENSTGEG00000026081
papio_anubis ENSPANG00000003889
cercocebus_atys ENSCATG00000032141
macaca_mulatta ENSMMUG00000048657
macaca_fascicularis ENSMFAG00000002503
macaca_nemestrina ENSMNEG00000027833
callithrix_jacchus ENSCJAG00000015343
saimiri_boliviensis_boliviensis ENSSBOG00000020955
cebus_capucinus_imitator ENSCCAG00000033310
aotus_nancymaae ENSANAG00000021133
carlito_syrichta ENSTSYG00000034036
propithecus_coquereli ENSPCOG00000028878
prolemur_simus ENSPSMG00000003214
microcebus_murinus ENSMICG00000038611
otolemur_garnettii ENSOGAG00000007759
tupaia_belangeri ENSTBEG00000007732
castor_canadensis ENSCCNG00000018627
dipodomys_ordii ENSDORG00000024382
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001379
cricetulus_griseus_crigri_1.0 ENSCGRG00000012057
cricetulus_griseus_crigri-picr ENSCGRG00015011674
mesocricetus_auratus ENSMAUG00000021465
microtus_ochrogaster ENSMOCG00000022293
peromyscus_maniculatus_bairdii ENSPEMG00000008987
mus_spicilegus ENSMSIG00000014717
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022073
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049620
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021163
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023480
rattus_norvegicus ENSRNOG00000029279
meriones_unguiculatus ENSMUGG00000017650
nannospalax_galili ENSNGAG00000016967
jaculus_jaculus ENSJJAG00000016558
spermophilus_dauricus ENSSDAG00000008790
marmota_marmota_marmota ENSMMMG00000008452
urocitellus_parryii ENSUPAG00010018330
ictidomys_tridecemlineatus ENSSTOG00000006765
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009208
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015224
fukomys_damarensis ENSFDAG00000018201
cavia_aperea ENSCAPG00000016128
cavia_porcellus ENSCPOG00000031498
octodon_degus ENSODEG00000013362
chinchilla_lanigera ENSCLAG00000013800
oryctolagus_cuniculus ENSOCUG00000004228
ochotona_princeps ENSOPRG00000016755
loxodonta_africana ENSLAFG00000000627
procavia_capensis ENSPCAG00000016779
dasypus_novemcinctus ENSDNOG00000002806
canis_lupus_dingo ENSCAFG00020025943
vulpes_vulpes ENSVVUG00000008838
monodelphis_domestica ENSMODG00000028700
phascolarctos_cinereus ENSPCIG00000017295
notamacropus_eugenii ENSMEUG00000004790
phascolarctos_cinereus ENSPCIG00000017298
sarcophilus_harrisii ENSSHAG00000017755
monodelphis_domestica ENSMODG00000016568
ornithorhynchus_anatinus ENSOANG00000000553
