maylandia_zebra ENSMZEG00005014353
astatotilapia_calliptera ENSACLG00000022274
pundamilia_nyererei ENSPNYG00000015459
haplochromis_burtoni ENSHBUG00000014893
neolamprologus_brichardi ENSNBRG00000013778
monopterus_albus ENSMALG00000002242
scophthalmus_maximus ENSSMAG00000018692
mola_mola ENSMMOG00000011493
stegastes_partitus ENSSPAG00000006950
acanthochromis_polyacanthus ENSAPOG00000014779
fundulus_heteroclitus ENSFHEG00000002977
cyprinodon_variegatus ENSCVAG00000007237
xiphophorus_couchianus ENSXCOG00000012796
xiphophorus_maculatus ENSXMAG00000021787
poecilia_latipinna ENSPLAG00000000958
poecilia_mexicana ENSPMEG00000015445
poecilia_reticulata ENSPREG00000021183
oryzias_latipes_asm223469v1 ENSORLG00015001515
oryzias_latipes_asm223471v1 ENSORLG00020020278
oryzias_latipes_asm223467v1 ENSORLG00000008381
oryzias_melastigma ENSOMEG00000017764
amphiprion_ocellaris ENSAOCG00000021921
amphilophus_citrinellus ENSACIG00000017139
seriola_dumerili ENSSDUG00000002176
seriola_lalandi_dorsalis ENSSLDG00000008346
hippocampus_comes ENSHCOG00000015707
labrus_bergylta ENSLBEG00000018578
periophthalmus_magnuspinnatus ENSPMGG00000011933
esox_lucius ENSELUG00000012973
astyanax_mexicanus ENSAMXG00000036865
pygocentrus_nattereri ENSPNAG00000030081
lepisosteus_oculatus ENSLOCG00000017567
