nannospalax_galili ENSNGAG00000014601
erinaceus_europaeus ENSEEUG00000014443
otolemur_garnettii ENSOGAG00000025034
otolemur_garnettii ENSOGAG00000009487
myotis_lucifugus ENSMLUG00000011370
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020288
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001049
fukomys_damarensis ENSFDAG00000007978
cavia_porcellus ENSCPOG00000005007
octodon_degus ENSODEG00000002601
urocitellus_parryii ENSUPAG00010002939
ictidomys_tridecemlineatus ENSSTOG00000021364
cricetulus_griseus_crigri-picr ENSCGRG00015014932
cricetulus_griseus_crigri-picr ENSCGRG00015014962
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012897
microtus_ochrogaster ENSMOCG00000000134
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073062
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033240
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031781
meriones_unguiculatus ENSMUGG00000006262
jaculus_jaculus ENSJJAG00000014676
castor_canadensis ENSCCNG00000001919
castor_canadensis ENSCCNG00000013348
oryctolagus_cuniculus ENSOCUG00000003505
tupaia_belangeri ENSTBEG00000001799
rhinopithecus_bieti ENSRBIG00000011630
colobus_angolensis_palliatus ENSCANG00000042935
macaca_mulatta ENSMMUG00000019432
macaca_nemestrina ENSMNEG00000032798
callithrix_jacchus ENSCJAG00000003009
prolemur_simus ENSPSMG00000020524
sus_scrofa ENSSSCG00000012359
sus_scrofa ENSSSCG00000034719
tursiops_truncatus ENSTTRG00000004499
bos_taurus ENSBTAG00000008911
bos_mutus ENSBMUG00000011984
bos_mutus ENSBMUG00000011979
bos_taurus ENSBTAG00000031523
ovis_aries ENSOARG00000005360
ovis_aries ENSOARG00000004624
capra_hircus ENSCHIG00000011389
capra_hircus ENSCHIG00000016672
vicugna_pacos ENSVPAG00000007315
equus_caballus ENSECAG00000034811
equus_caballus ENSECAG00000018848
equus_asinus_asinus ENSEASG00005007932
ursus_americanus ENSUAMG00000010132
ursus_americanus ENSUAMG00000002934
ursus_americanus ENSUAMG00000006057
ursus_maritimus ENSUMAG00000000758
mustela_putorius_furo ENSMPUG00000019780
mustela_putorius_furo ENSMPUG00000015900
canis_lupus_dingo ENSCAFG00020013707
canis_lupus_dingo ENSCAFG00020013718
canis_lupus_familiaris ENSCAFG00000016517
vulpes_vulpes ENSVVUG00000010884
felis_catus ENSFCAG00000005774
loxodonta_africana ENSLAFG00000017963
procavia_capensis ENSPCAG00000012425
echinops_telfairi ENSETEG00000015246
dasypus_novemcinctus ENSDNOG00000007340
choloepus_hoffmanni ENSCHOG00000000986
