pongo_abelii ENSPPYG00000018105
urocitellus_parryii ENSUPAG00010009886
erinaceus_europaeus ENSEEUG00000008714
castor_canadensis ENSCCNG00000011581
procavia_capensis ENSPCAG00000005947
cebus_capucinus_imitator ENSCCAG00000034520
saimiri_boliviensis_boliviensis ENSSBOG00000004476
aotus_nancymaae ENSANAG00000024458
macaca_fascicularis ENSMFAG00000042765
macaca_mulatta ENSMMUG00000044463
macaca_nemestrina ENSMNEG00000029298
chlorocebus_sabaeus ENSCSAG00000007399
papio_anubis ENSPANG00000024542
theropithecus_gelada ENSTGEG00000000254
mandrillus_leucophaeus ENSMLEG00000037620
cercocebus_atys ENSCATG00000034372
colobus_angolensis_palliatus ENSCANG00000038400
piliocolobus_tephrosceles ENSPTEG00000032821
rhinopithecus_roxellana ENSRROG00000033657
rhinopithecus_bieti ENSRBIG00000033227
pan_troglodytes ENSPTRG00000051739
pan_troglodytes ENSPTRG00000019798
pan_paniscus ENSPPAG00000030741
gorilla_gorilla ENSGGOG00000015999
homo_sapiens ENSG00000127412
nomascus_leucogenys ENSNLEG00000002847
carlito_syrichta ENSTSYG00000009891
propithecus_coquereli ENSPCOG00000016425
prolemur_simus ENSPSMG00000000280
otolemur_garnettii ENSOGAG00000013546
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029281
mus_spicilegus ENSMSIG00000003226
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036899
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028276
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022033
rattus_norvegicus ENSRNOG00000015394
meriones_unguiculatus ENSMUGG00000022232
cricetulus_griseus_crigri-picr ENSCGRG00015023434
cricetulus_griseus_crigri_1.0 ENSCGRG00000005979
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012108
mesocricetus_auratus ENSMAUG00000011813
peromyscus_maniculatus_bairdii ENSPEMG00000008873
microtus_ochrogaster ENSMOCG00000007194
nannospalax_galili ENSNGAG00000010880
jaculus_jaculus ENSJJAG00000020226
dipodomys_ordii ENSDORG00000008637
chinchilla_lanigera ENSCLAG00000001736
octodon_degus ENSODEG00000014153
cavia_porcellus ENSCPOG00000001189
cavia_aperea ENSCAPG00000017479
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006227
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013877
fukomys_damarensis ENSFDAG00000014389
ictidomys_tridecemlineatus ENSSTOG00000008339
urocitellus_parryii ENSUPAG00010009906
spermophilus_dauricus ENSSDAG00000006847
marmota_marmota_marmota ENSMMMG00000008157
oryctolagus_cuniculus ENSOCUG00000007559
ochotona_princeps ENSOPRG00000005545
tupaia_belangeri ENSTBEG00000012733
myotis_lucifugus ENSMLUG00000010822
pteropus_vampyrus ENSPVAG00000008829
bos_mutus ENSBMUG00000003631
bos_taurus ENSBTAG00000001912
bison_bison_bison ENSBBBG00000014929
capra_hircus ENSCHIG00000014452
ovis_aries ENSOARG00000017072
tursiops_truncatus ENSTTRG00000007824
sus_scrofa ENSSSCG00000016469
equus_caballus ENSECAG00000004594
equus_asinus_asinus ENSEASG00005009262
ursus_americanus ENSUAMG00000012830
ursus_maritimus ENSUMAG00000011946
ailuropoda_melanoleuca ENSAMEG00000006473
neovison_vison ENSNVIG00000019334
mustela_putorius_furo ENSMPUG00000008400
canis_lupus_dingo ENSCAFG00020020849
canis_lupus_familiaris ENSCAFG00000003670
vulpes_vulpes ENSVVUG00000027594
panthera_tigris_altaica ENSPTIG00000008125
panthera_pardus ENSPPRG00000024936
felis_catus ENSFCAG00000014935
ailuropoda_melanoleuca ENSAMEG00000016071
mustela_putorius_furo ENSMPUG00000017030
erinaceus_europaeus ENSEEUG00000008468
choloepus_hoffmanni ENSCHOG00000012204
dasypus_novemcinctus ENSDNOG00000040587
procavia_capensis ENSPCAG00000004988
phascolarctos_cinereus ENSPCIG00000015583
monodelphis_domestica ENSMODG00000001049
ornithorhynchus_anatinus ENSOANG00000003148
gopherus_agassizii ENSGAGG00000003287
taeniopygia_guttata ENSTGUG00000017230
crocodylus_porosus ENSCPRG00005000963
