apteryx_haastii ENSAHAG00000014260
apteryx_owenii ENSAOWG00000008314
dromaius_novaehollandiae ENSDNVG00000012021
parus_major ENSPMJG00000005150
zonotrichia_albicollis ENSZALG00000017781
calidris_pugnax ENSCPUG00000012131
anas_platyrhynchos_platyrhynchos ENSAPLG00000030550
anser_brachyrhynchus ENSABRG00000019668
gallus_gallus ENSGALG00000033303
pogona_vitticeps ENSPVIG00000024333
salvator_merianae ENSSMRG00000008114
myotis_lucifugus ENSMLUG00000015697
paramormyrops_kingsleyae ENSPKIG00000001740
scleropages_formosus ENSSFOG00015018563
labrus_bergylta ENSLBEG00000007209
gasterosteus_aculeatus ENSGACG00000005838
scophthalmus_maximus ENSSMAG00000010838
cynoglossus_semilaevis ENSCSEG00000005707
seriola_dumerili ENSSDUG00000015772
seriola_lalandi_dorsalis ENSSLDG00000020431
mola_mola ENSMMOG00000016290
monopterus_albus ENSMALG00000004492
mastacembelus_armatus ENSMAMG00000016601
anabas_testudineus ENSATEG00000007505
fundulus_heteroclitus ENSFHEG00000018627
cyprinodon_variegatus ENSCVAG00000010809
xiphophorus_maculatus ENSXMAG00000019315
xiphophorus_couchianus ENSXCOG00000003005
gambusia_affinis ENSGAFG00000019049
poecilia_mexicana ENSPMEG00000021361
poecilia_formosa ENSPFOG00000001740
poecilia_latipinna ENSPLAG00000014343
poecilia_reticulata ENSPREG00000003950
kryptolebias_marmoratus ENSKMAG00000002070
oryzias_latipes_asm223469v1 ENSORLG00015011673
oryzias_latipes_asm223467v1 ENSORLG00000029057
oryzias_latipes_asm223471v1 ENSORLG00020018085
oryzias_melastigma ENSOMEG00000000978
amphiprion_ocellaris ENSAOCG00000000902
amphiprion_percula ENSAPEG00000012430
acanthochromis_polyacanthus ENSAPOG00000011899
stegastes_partitus ENSSPAG00000019611
astatotilapia_calliptera ENSACLG00000019697
maylandia_zebra ENSMZEG00005008103
haplochromis_burtoni ENSHBUG00000004877
pundamilia_nyererei ENSPNYG00000009886
neolamprologus_brichardi ENSNBRG00000000416
oreochromis_niloticus ENSONIG00000001788
amphilophus_citrinellus ENSACIG00000017405
takifugu_rubripes ENSTRUG00000008371
tetraodon_nigroviridis ENSTNIG00000005082
hippocampus_comes ENSHCOG00000008014
periophthalmus_magnuspinnatus ENSPMGG00000000866
gadus_morhua ENSGMOG00000010511
esox_lucius ENSELUG00000012033
pygocentrus_nattereri ENSPNAG00000018962
astyanax_mexicanus ENSAMXG00000007627
ictalurus_punctatus ENSIPUG00000006047
danio_rerio ENSDARG00000055970
lepisosteus_oculatus ENSLOCG00000014295
