pan_paniscus ENSPPAG00000031460
pan_troglodytes ENSPTRG00000019295
gorilla_gorilla ENSGGOG00000040630
homo_sapiens ENSG00000174428
homo_sapiens ENSG00000196275
pongo_abelii ENSPPYG00000017480
rhinopithecus_bieti ENSRBIG00000036483
rhinopithecus_roxellana ENSRROG00000045768
colobus_angolensis_palliatus ENSCANG00000038328
mandrillus_leucophaeus ENSMLEG00000044271
cercocebus_atys ENSCATG00000031171
theropithecus_gelada ENSTGEG00000002656
papio_anubis ENSPANG00000018076
macaca_fascicularis ENSMFAG00000003206
macaca_mulatta ENSMMUG00000017270
macaca_nemestrina ENSMNEG00000038900
saimiri_boliviensis_boliviensis ENSSBOG00000029199
callithrix_jacchus ENSCJAG00000002797
cebus_capucinus_imitator ENSCCAG00000021511
aotus_nancymaae ENSANAG00000032621
carlito_syrichta ENSTSYG00000027785
microcebus_murinus ENSMICG00000014913
propithecus_coquereli ENSPCOG00000023746
prolemur_simus ENSPSMG00000017727
otolemur_garnettii ENSOGAG00000000844
mus_spicilegus ENSMSIG00000019862
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028806
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000015942
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027808
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024376
meriones_unguiculatus ENSMUGG00000006184
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017104
cricetulus_griseus_crigri-picr ENSCGRG00015002736
cricetulus_griseus_crigri_1.0 ENSCGRG00000001042
mesocricetus_auratus ENSMAUG00000000584
microtus_ochrogaster ENSMOCG00000022673
peromyscus_maniculatus_bairdii ENSPEMG00000030871
nannospalax_galili ENSNGAG00000005701
jaculus_jaculus ENSJJAG00000014741
chinchilla_lanigera ENSCLAG00000009126
octodon_degus ENSODEG00000014736
cavia_porcellus ENSCPOG00000022638
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016284
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006601
ictidomys_tridecemlineatus ENSSTOG00000032504
urocitellus_parryii ENSUPAG00010004921
equus_caballus ENSECAG00000021592
equus_caballus ENSECAG00000030893
pteropus_vampyrus ENSPVAG00000005368
myotis_lucifugus ENSMLUG00000024497
canis_lupus_dingo ENSCAFG00020005880
vulpes_vulpes ENSVVUG00000014950
canis_lupus_familiaris ENSCAFG00000011367
canis_lupus_dingo ENSCAFG00020005872
vulpes_vulpes ENSVVUG00000014951
mustela_putorius_furo ENSMPUG00000016180
neovison_vison ENSNVIG00000006028
ursus_americanus ENSUAMG00000008596
ursus_americanus ENSUAMG00000008593
ursus_maritimus ENSUMAG00000014971
panthera_pardus ENSPPRG00000015109
panthera_tigris_altaica ENSPTIG00000006123
felis_catus ENSFCAG00000002626
bos_mutus ENSBMUG00000011592
bos_taurus ENSBTAG00000026286
bison_bison_bison ENSBBBG00000003371
capra_hircus ENSCHIG00000011875
sus_scrofa ENSSSCG00000028635
dasypus_novemcinctus ENSDNOG00000043641
procavia_capensis ENSPCAG00000008617
equus_asinus_asinus ENSEASG00005015820
equus_asinus_asinus ENSEASG00005015816
carlito_syrichta ENSTSYG00000026082
chlorocebus_sabaeus ENSCSAG00000018260
castor_canadensis ENSCCNG00000031437
oryctolagus_cuniculus ENSOCUG00000022131
ovis_aries ENSOARG00000010976
ailuropoda_melanoleuca ENSAMEG00000015146
loxodonta_africana ENSLAFG00000013081
nomascus_leucogenys ENSNLEG00000000007
pan_troglodytes ENSPTRG00000043124
piliocolobus_tephrosceles ENSPTEG00000014254
colobus_angolensis_palliatus ENSCANG00000021490
mandrillus_leucophaeus ENSMLEG00000028282
marmota_marmota_marmota ENSMMMG00000005542
spermophilus_dauricus ENSSDAG00000014132
dasypus_novemcinctus ENSDNOG00000046682
gopherus_agassizii ENSGAGG00000019635
oreochromis_niloticus ENSONIG00000019073
gasterosteus_aculeatus ENSGACG00000009534
