myotis_lucifugus ENSMLUG00000002563
pteropus_vampyrus ENSPVAG00000011522
equus_asinus_asinus ENSEASG00005022479
equus_caballus ENSECAG00000027754
bos_taurus ENSBTAG00000001819
capra_hircus ENSCHIG00000024755
sus_scrofa ENSSSCG00000009317
ursus_americanus ENSUAMG00000023217
neovison_vison ENSNVIG00000002864
canis_lupus_familiaris ENSCAFG00000006742
canis_lupus_dingo ENSCAFG00020025296
vulpes_vulpes ENSVVUG00000009237
panthera_pardus ENSPPRG00000004823
felis_catus ENSFCAG00000026699
oryctolagus_cuniculus ENSOCUG00000004893
ochotona_princeps ENSOPRG00000003043
carlito_syrichta ENSTSYG00000029265
propithecus_coquereli ENSPCOG00000017128
prolemur_simus ENSPSMG00000023632
microcebus_murinus ENSMICG00000031345
otolemur_garnettii ENSOGAG00000026117
saimiri_boliviensis_boliviensis ENSSBOG00000031573
callithrix_jacchus ENSCJAG00000019398
cebus_capucinus_imitator ENSCCAG00000025801
aotus_nancymaae ENSANAG00000030392
pan_paniscus ENSPPAG00000032963
pan_troglodytes ENSPTRG00000043330
homo_sapiens ENSG00000165556
gorilla_gorilla ENSGGOG00000005487
pongo_abelii ENSPPYG00000005242
nomascus_leucogenys ENSNLEG00000000365
mandrillus_leucophaeus ENSMLEG00000037430
papio_anubis ENSPANG00000032237
theropithecus_gelada ENSTGEG00000020177
cercocebus_atys ENSCATG00000007363
chlorocebus_sabaeus ENSCSAG00000017976
macaca_fascicularis ENSMFAG00000042692
macaca_nemestrina ENSMNEG00000043440
piliocolobus_tephrosceles ENSPTEG00000018451
colobus_angolensis_palliatus ENSCANG00000041887
rhinopithecus_bieti ENSRBIG00000038667
rhinopithecus_roxellana ENSRROG00000036416
castor_canadensis ENSCCNG00000019836
dipodomys_ordii ENSDORG00000005495
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009166
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016378
fukomys_damarensis ENSFDAG00000011502
chinchilla_lanigera ENSCLAG00000006810
cavia_porcellus ENSCPOG00000007276
octodon_degus ENSODEG00000007340
microtus_ochrogaster ENSMOCG00000010222
peromyscus_maniculatus_bairdii ENSPEMG00000000632
cricetulus_griseus_crigri-picr ENSCGRG00015016790
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024259
cricetulus_griseus_crigri_1.0 ENSCGRG00000009783
mesocricetus_auratus ENSMAUG00000020822
mus_spicilegus ENSMSIG00000023947
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029646
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029035
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028037
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024603
rattus_norvegicus ENSRNOG00000032759
nannospalax_galili ENSNGAG00000019299
jaculus_jaculus ENSJJAG00000010229
urocitellus_parryii ENSUPAG00010018125
marmota_marmota_marmota ENSMMMG00000021482
ictidomys_tridecemlineatus ENSSTOG00000002918
spermophilus_dauricus ENSSDAG00000016593
tupaia_belangeri ENSTBEG00000006155
ursus_maritimus ENSUMAG00000016976
ailuropoda_melanoleuca ENSAMEG00000002400
mustela_putorius_furo ENSMPUG00000005092
panthera_tigris_altaica ENSPTIG00000014998
bos_mutus ENSBMUG00000023200
bison_bison_bison ENSBBBG00000012601
ovis_aries ENSOARG00000012435
erinaceus_europaeus ENSEEUG00000005045
dasypus_novemcinctus ENSDNOG00000035260
procavia_capensis ENSPCAG00000010752
loxodonta_africana ENSLAFG00000030146
echinops_telfairi ENSETEG00000018589
phascolarctos_cinereus ENSPCIG00000022200
notamacropus_eugenii ENSMEUG00000003391
sarcophilus_harrisii ENSSHAG00000017862
monodelphis_domestica ENSMODG00000009021
ornithorhynchus_anatinus ENSOANG00000009065
gopherus_agassizii ENSGAGG00000007348
chelonoidis_abingdonii ENSCABG00000001373
chrysemys_picta_bellii ENSCPBG00000020467
pelodiscus_sinensis ENSPSIG00000012291
apteryx_haastii ENSAHAG00000003539
apteryx_owenii ENSAOWG00000009360
dromaius_novaehollandiae ENSDNVG00000005131
apteryx_rowi ENSARWG00000008990
nothoprocta_perdicaria ENSNPEG00000010131
anser_brachyrhynchus ENSABRG00000020167
anas_platyrhynchos_platyrhynchos ENSAPLG00000020255
coturnix_japonica ENSCJPG00005020437
numida_meleagris ENSNMEG00000019371
lonchura_striata_domestica ENSLSDG00000000185
taeniopygia_guttata ENSTGUG00000011606
serinus_canaria ENSSCAG00000006556
parus_major ENSPMJG00000017476
junco_hyemalis ENSJHYG00000011483
ficedula_albicollis ENSFALG00000014799
lepidothrix_coronata ENSLCOG00000003747
cyanistes_caeruleus ENSCCEG00000023778
manacus_vitellinus ENSMVIG00005001125
melopsittacus_undulatus ENSMUNG00000005104
calidris_pygmaea ENSCPGG00000009368
calidris_pugnax ENSCPUG00000013438
anolis_carolinensis ENSACAG00000003334
pogona_vitticeps ENSPVIG00000021253
notechis_scutatus ENSNSUG00000013289
salvator_merianae ENSSMRG00000013119
sphenodon_punctatus ENSSPUG00000005058
xenopus_tropicalis ENSXETG00000011788
latimeria_chalumnae ENSLACG00000016728
lepisosteus_oculatus ENSLOCG00000004278
astyanax_mexicanus ENSAMXG00000016994
eptatretus_burgeri ENSEBUG00000011554
petromyzon_marinus ENSPMAG00000000895
