periophthalmus_magnuspinnatus ENSPMGG00000005356
hippocampus_comes ENSHCOG00000017310
monopterus_albus ENSMALG00000009054
anabas_testudineus ENSATEG00000024993
mola_mola ENSMMOG00000010427
haplochromis_burtoni ENSHBUG00000011333
cynoglossus_semilaevis ENSCSEG00000010287
takifugu_rubripes ENSTRUG00000007900
tetraodon_nigroviridis ENSTNIG00000014818
gasterosteus_aculeatus ENSGACG00000007015
seriola_dumerili ENSSDUG00000016161
seriola_lalandi_dorsalis ENSSLDG00000003828
scophthalmus_maximus ENSSMAG00000013505
labrus_bergylta ENSLBEG00000016119
mastacembelus_armatus ENSMAMG00000014233
amphiprion_ocellaris ENSAOCG00000001066
acanthochromis_polyacanthus ENSAPOG00000002677
astatotilapia_calliptera ENSACLG00000017869
maylandia_zebra ENSMZEG00005013503
pundamilia_nyererei ENSPNYG00000019517
oreochromis_niloticus ENSONIG00000014378
amphiprion_percula ENSAPEG00000005795
stegastes_partitus ENSSPAG00000020330
amphilophus_citrinellus ENSACIG00000018288
neolamprologus_brichardi ENSNBRG00000022135
xiphophorus_maculatus ENSXMAG00000017631
xiphophorus_couchianus ENSXCOG00000013549
gambusia_affinis ENSGAFG00000012910
poecilia_mexicana ENSPMEG00000018396
poecilia_formosa ENSPFOG00000011354
poecilia_latipinna ENSPLAG00000012138
poecilia_reticulata ENSPREG00000007172
fundulus_heteroclitus ENSFHEG00000015504
cyprinodon_variegatus ENSCVAG00000015594
kryptolebias_marmoratus ENSKMAG00000011337
oryzias_latipes_asm223469v1 ENSORLG00015014416
oryzias_latipes_asm223471v1 ENSORLG00020018624
oryzias_latipes_asm223467v1 ENSORLG00000004778
oryzias_melastigma ENSOMEG00000019834
gadus_morhua ENSGMOG00000003598
esox_lucius ENSELUG00000015504
pygocentrus_nattereri ENSPNAG00000007556
astyanax_mexicanus ENSAMXG00000024703
ictalurus_punctatus ENSIPUG00000001227
scleropages_formosus ENSSFOG00015002118
paramormyrops_kingsleyae ENSPKIG00000025072
lepisosteus_oculatus ENSLOCG00000013801
monodelphis_domestica ENSMODG00000011717
