neovison_vison ENSNVIG00000024094
mustela_putorius_furo ENSMPUG00000008207
microcebus_murinus ENSMICG00000033844
oryctolagus_cuniculus ENSOCUG00000001289
ochotona_princeps ENSOPRG00000000156
echinops_telfairi ENSETEG00000000950
carlito_syrichta ENSTSYG00000013404
carlito_syrichta ENSTSYG00000028902
otolemur_garnettii ENSOGAG00000005210
cavia_porcellus ENSCPOG00000009037
cavia_aperea ENSCAPG00000015684
chinchilla_lanigera ENSCLAG00000006114
octodon_degus ENSODEG00000000877
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015983
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018878
fukomys_damarensis ENSFDAG00000020305
urocitellus_parryii ENSUPAG00010008308
ictidomys_tridecemlineatus ENSSTOG00000008117
marmota_marmota_marmota ENSMMMG00000006323
spermophilus_dauricus ENSSDAG00000023915
castor_canadensis ENSCCNG00000027086
dipodomys_ordii ENSDORG00000015527
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058013
mus_spicilegus ENSMSIG00000020137
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028421
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027424
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017202
rattus_norvegicus ENSRNOG00000002182
meriones_unguiculatus ENSMUGG00000026182
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000184
cricetulus_griseus_crigri-picr ENSCGRG00015011728
cricetulus_griseus_crigri_1.0 ENSCGRG00000002281
mesocricetus_auratus ENSMAUG00000008193
microtus_ochrogaster ENSMOCG00000014932
peromyscus_maniculatus_bairdii ENSPEMG00000016338
nannospalax_galili ENSNGAG00000000462
jaculus_jaculus ENSJJAG00000007698
colobus_angolensis_palliatus ENSCANG00000032458
piliocolobus_tephrosceles ENSPTEG00000024368
rhinopithecus_roxellana ENSRROG00000038768
rhinopithecus_bieti ENSRBIG00000024343
cercocebus_atys ENSCATG00000027299
mandrillus_leucophaeus ENSMLEG00000041438
papio_anubis ENSPANG00000021634
macaca_nemestrina ENSMNEG00000044831
macaca_fascicularis ENSMFAG00000042066
macaca_mulatta ENSMMUG00000019901
chlorocebus_sabaeus ENSCSAG00000004591
theropithecus_gelada ENSTGEG00000012482
pan_troglodytes ENSPTRG00000016192
pan_paniscus ENSPPAG00000041700
homo_sapiens ENSG00000138758
gorilla_gorilla ENSGGOG00000015115
pongo_abelii ENSPPYG00000014864
nomascus_leucogenys ENSNLEG00000032040
saimiri_boliviensis_boliviensis ENSSBOG00000020488
cebus_capucinus_imitator ENSCCAG00000022420
callithrix_jacchus ENSCJAG00000014744
aotus_nancymaae ENSANAG00000029750
prolemur_simus ENSPSMG00000009386
propithecus_coquereli ENSPCOG00000014774
tupaia_belangeri ENSTBEG00000012851
equus_asinus_asinus ENSEASG00005016442
equus_caballus ENSECAG00000005768
pteropus_vampyrus ENSPVAG00000013504
bison_bison_bison ENSBBBG00000018401
bos_mutus ENSBMUG00000014364
bos_taurus ENSBTAG00000021372
capra_hircus ENSCHIG00000021075
ovis_aries ENSOARG00000017493
tursiops_truncatus ENSTTRG00000014833
vicugna_pacos ENSVPAG00000011864
myotis_lucifugus ENSMLUG00000014877
myotis_lucifugus ENSMLUG00000024451
