acanthochromis_polyacanthus ENSAPOG00000003517
cynoglossus_semilaevis ENSCSEG00000002275
labrus_bergylta ENSLBEG00000019451
gasterosteus_aculeatus ENSGACG00000004040
seriola_lalandi_dorsalis ENSSLDG00000010760
seriola_dumerili ENSSDUG00000017075
scophthalmus_maximus ENSSMAG00000004925
stegastes_partitus ENSSPAG00000009323
amphiprion_percula ENSAPEG00000021295
mola_mola ENSMMOG00000020203
monopterus_albus ENSMALG00000015957
hippocampus_comes ENSHCOG00000007829
oryzias_latipes_asm223471v1 ENSORLG00020002484
oryzias_latipes_asm223469v1 ENSORLG00015016962
oryzias_latipes_asm223467v1 ENSORLG00000001527
oryzias_melastigma ENSOMEG00000013155
gadus_morhua ENSGMOG00000004749
esox_lucius ENSELUG00000012657
astyanax_mexicanus ENSAMXG00000039518
paramormyrops_kingsleyae ENSPKIG00000015566
scleropages_formosus ENSSFOG00015016333
