procavia_capensis ENSPCAG00000005318
echinops_telfairi ENSETEG00000006766
loxodonta_africana ENSLAFG00000015193
dasypus_novemcinctus ENSDNOG00000047057
ursus_americanus ENSUAMG00000019767
ursus_maritimus ENSUMAG00000008469
ailuropoda_melanoleuca ENSAMEG00000010689
neovison_vison ENSNVIG00000017497
mustela_putorius_furo ENSMPUG00000009525
canis_lupus_familiaris ENSCAFG00000007292
canis_lupus_dingo ENSCAFG00020016966
vulpes_vulpes ENSVVUG00000028697
panthera_pardus ENSPPRG00000005962
panthera_tigris_altaica ENSPTIG00000009382
felis_catus ENSFCAG00000009579
capra_hircus ENSCHIG00000025022
ovis_aries ENSOARG00000020818
bos_taurus ENSBTAG00000019072
bos_mutus ENSBMUG00000008316
tursiops_truncatus ENSTTRG00000011937
pteropus_vampyrus ENSPVAG00000005662
myotis_lucifugus ENSMLUG00000011914
equus_caballus ENSECAG00000022660
equus_asinus_asinus ENSEASG00005006540
erinaceus_europaeus ENSEEUG00000002105
castor_canadensis ENSCCNG00000021316
dipodomys_ordii ENSDORG00000003392
mus_spicilegus ENSMSIG00000025484
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024154
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026979
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023237
rattus_norvegicus ENSRNOG00000006079
meriones_unguiculatus ENSMUGG00000012341
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010714
cricetulus_griseus_crigri_1.0 ENSCGRG00000003774
cricetulus_griseus_crigri-picr ENSCGRG00015004043
mesocricetus_auratus ENSMAUG00000011834
peromyscus_maniculatus_bairdii ENSPEMG00000017053
microtus_ochrogaster ENSMOCG00000007380
nannospalax_galili ENSNGAG00000012158
jaculus_jaculus ENSJJAG00000006466
chinchilla_lanigera ENSCLAG00000004856
octodon_degus ENSODEG00000005583
cavia_porcellus ENSCPOG00000011999
cavia_aperea ENSCAPG00000007543
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003799
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016761
marmota_marmota_marmota ENSMMMG00000002787
spermophilus_dauricus ENSSDAG00000016199
oryctolagus_cuniculus ENSOCUG00000004174
ochotona_princeps ENSOPRG00000012871
tupaia_belangeri ENSTBEG00000007010
pan_troglodytes ENSPTRG00000012379
pan_paniscus ENSPPAG00000033376
homo_sapiens ENSG00000125637
gorilla_gorilla ENSGGOG00000004574
pongo_abelii ENSPPYG00000012182
nomascus_leucogenys ENSNLEG00000002038
papio_anubis ENSPANG00000025950
cercocebus_atys ENSCATG00000043819
theropithecus_gelada ENSTGEG00000028511
mandrillus_leucophaeus ENSMLEG00000042825
macaca_fascicularis ENSMFAG00000040672
macaca_mulatta ENSMMUG00000011572
macaca_nemestrina ENSMNEG00000038985
chlorocebus_sabaeus ENSCSAG00000016690
piliocolobus_tephrosceles ENSPTEG00000017077
colobus_angolensis_palliatus ENSCANG00000038876
rhinopithecus_bieti ENSRBIG00000023939
rhinopithecus_roxellana ENSRROG00000031288
cebus_capucinus_imitator ENSCCAG00000016527
saimiri_boliviensis_boliviensis ENSSBOG00000034213
callithrix_jacchus ENSCJAG00000013912
aotus_nancymaae ENSANAG00000021945
carlito_syrichta ENSTSYG00000011562
propithecus_coquereli ENSPCOG00000024889
microcebus_murinus ENSMICG00000003255
otolemur_garnettii ENSOGAG00000009413
sorex_araneus ENSSARG00000004826
phascolarctos_cinereus ENSPCIG00000004140
notamacropus_eugenii ENSMEUG00000012151
monodelphis_domestica ENSMODG00000013780
sarcophilus_harrisii ENSSHAG00000011461
ornithorhynchus_anatinus ENSOANG00000010553
apteryx_rowi ENSARWG00000017912
apteryx_haastii ENSAHAG00000005218
dromaius_novaehollandiae ENSDNVG00000011879
anser_brachyrhynchus ENSABRG00000011330
anas_platyrhynchos_platyrhynchos ENSAPLG00000027957
lepidothrix_coronata ENSLCOG00000007269
crocodylus_porosus ENSCPRG00005000116
pelodiscus_sinensis ENSPSIG00000012125
pogona_vitticeps ENSPVIG00000015790
notechis_scutatus ENSNSUG00000020302
salvator_merianae ENSSMRG00000011985
sphenodon_punctatus ENSSPUG00000000840
gopherus_agassizii ENSGAGG00000022945
chrysemys_picta_bellii ENSCPBG00000023247
chelonoidis_abingdonii ENSCABG00000012224
numida_meleagris ENSNMEG00000019893
coturnix_japonica ENSCJPG00005011841
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024695
prolemur_simus ENSPSMG00000016293
bison_bison_bison ENSBBBG00000016789
nothoprocta_perdicaria ENSNPEG00000011538
lepidothrix_coronata ENSLCOG00000007270
pogona_vitticeps ENSPVIG00000015798
