zonotrichia_albicollis ENSZALG00000009888
junco_hyemalis ENSJHYG00000016777
serinus_canaria ENSSCAG00000015828
taeniopygia_guttata ENSTGUG00000001745
ficedula_albicollis ENSFALG00000003698
lonchura_striata_domestica ENSLSDG00000007778
lonchura_striata_domestica ENSLSDG00000007777
parus_major ENSPMJG00000012389
cyanistes_caeruleus ENSCCEG00000012431
parus_major ENSPMJG00000012388
lepidothrix_coronata ENSLCOG00000015664
manacus_vitellinus ENSMVIG00005018751
calidris_pygmaea ENSCPGG00000018220
calidris_pugnax ENSCPUG00000017707
melopsittacus_undulatus ENSMUNG00000006891
anser_brachyrhynchus ENSABRG00000013332
anas_platyrhynchos_platyrhynchos ENSAPLG00000005226
gallus_gallus ENSGALG00000002630
meleagris_gallopavo ENSMGAG00000005673
numida_meleagris ENSNMEG00000001577
apteryx_haastii ENSAHAG00000017652
apteryx_rowi ENSARWG00000000227
apteryx_owenii ENSAOWG00000005229
dromaius_novaehollandiae ENSDNVG00000014543
crocodylus_porosus ENSCPRG00005014331
chelonoidis_abingdonii ENSCABG00000015452
chelonoidis_abingdonii ENSCABG00000004695
gopherus_agassizii ENSGAGG00000000033
chrysemys_picta_bellii ENSCPBG00000017903
pelodiscus_sinensis ENSPSIG00000005652
salvator_merianae ENSSMRG00000001933
notechis_scutatus ENSNSUG00000011907
sphenodon_punctatus ENSSPUG00000013727
marmota_marmota_marmota ENSMMMG00000024327
spermophilus_dauricus ENSSDAG00000016825
urocitellus_parryii ENSUPAG00010014957
ictidomys_tridecemlineatus ENSSTOG00000000256
castor_canadensis ENSCCNG00000030812
mus_spicilegus ENSMSIG00000007823
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022227
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024220
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021314
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023632
rattus_norvegicus ENSRNOG00000000501
meriones_unguiculatus ENSMUGG00000019530
microtus_ochrogaster ENSMOCG00000013791
peromyscus_maniculatus_bairdii ENSPEMG00000003720
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020582
cricetulus_griseus_crigri-picr ENSCGRG00015014974
cricetulus_griseus_crigri_1.0 ENSCGRG00000002229
mesocricetus_auratus ENSMAUG00000001011
nannospalax_galili ENSNGAG00000012643
jaculus_jaculus ENSJJAG00000006658
chinchilla_lanigera ENSCLAG00000007582
octodon_degus ENSODEG00000017147
cavia_aperea ENSCAPG00000016318
cavia_porcellus ENSCPOG00000007381
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013342
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018653
fukomys_damarensis ENSFDAG00000018183
ochotona_princeps ENSOPRG00000016364
ochotona_princeps ENSOPRG00000009136
oryctolagus_cuniculus ENSOCUG00000015630
pan_troglodytes ENSPTRG00000018080
