macaca_fascicularis ENSMFAG00000039937
theropithecus_gelada ENSTGEG00000013332
chlorocebus_sabaeus ENSCSAG00000008807
piliocolobus_tephrosceles ENSPTEG00000037388
piliocolobus_tephrosceles ENSPTEG00000039266
colobus_angolensis_palliatus ENSCANG00000030667
rhinopithecus_roxellana ENSRROG00000045141
rhinopithecus_bieti ENSRBIG00000031960
macaca_mulatta ENSMMUG00000043226
pan_paniscus ENSPPAG00000029378
pan_troglodytes ENSPTRG00000017989
homo_sapiens ENSG00000204387
pongo_abelii ENSPPYG00000016464
nomascus_leucogenys ENSNLEG00000027425
