kryptolebias_marmoratus ENSKMAG00000010325
poecilia_formosa ENSPFOG00000024465
pundamilia_nyererei ENSPNYG00000016639
maylandia_zebra ENSMZEG00005021079
oreochromis_niloticus ENSONIG00000007346
neolamprologus_brichardi ENSNBRG00000013466
amphiprion_ocellaris ENSAOCG00000019657
takifugu_rubripes ENSTRUG00000023455
mola_mola ENSMMOG00000006403
hippocampus_comes ENSHCOG00000018051
mastacembelus_armatus ENSMAMG00000000692
scleropages_formosus ENSSFOG00015003767
lepisosteus_oculatus ENSLOCG00000010253
notamacropus_eugenii ENSMEUG00000000064
saccharomyces_cerevisiae_strain_s288c YOR246C
