nannospalax_galili ENSNGAG00000011165
jaculus_jaculus ENSJJAG00000016992
castor_canadensis ENSCCNG00000029044
dipodomys_ordii ENSDORG00000008157
peromyscus_maniculatus_bairdii ENSPEMG00000026292
peromyscus_maniculatus_bairdii ENSPEMG00000025134
mesocricetus_auratus ENSMAUG00000018171
peromyscus_maniculatus_bairdii ENSPEMG00000029106
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027907
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014671
mesocricetus_auratus ENSMAUG00000021099
mesocricetus_auratus ENSMAUG00000021694
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008325
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018310
cricetulus_griseus_crigri-picr ENSCGRG00015021259
peromyscus_maniculatus_bairdii ENSPEMG00000012098
peromyscus_maniculatus_bairdii ENSPEMG00000025695
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070594
mus_spicilegus ENSMSIG00000029254
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033898
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015478
mus_spicilegus ENSMSIG00000018405
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026365
mus_spicilegus ENSMSIG00000018436
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027906
rattus_norvegicus ENSRNOG00000030715
meriones_unguiculatus ENSMUGG00000025944
rattus_norvegicus ENSRNOG00000042369
castor_canadensis ENSCCNG00000029330
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001606
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019091
octodon_degus ENSODEG00000010026
spermophilus_dauricus ENSSDAG00000004660
marmota_marmota_marmota ENSMMMG00000004823
urocitellus_parryii ENSUPAG00010019755
ursus_maritimus ENSUMAG00000020646
bos_mutus ENSBMUG00000008574
microtus_ochrogaster ENSMOCG00000020601
dasypus_novemcinctus ENSDNOG00000019210
