mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002418
mus_spicilegus ENSMSIG00000003546
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076499
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002264
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0002066
meriones_unguiculatus ENSMUGG00000004384
peromyscus_maniculatus_bairdii ENSPEMG00000025648
cricetulus_griseus_crigri-picr ENSCGRG00015023362
spermophilus_dauricus ENSSDAG00000006490
urocitellus_parryii ENSUPAG00010009860
marmota_marmota_marmota ENSMMMG00000008273
tupaia_belangeri ENSTBEG00000013819
prolemur_simus ENSPSMG00000000016
otolemur_garnettii ENSOGAG00000028149
theropithecus_gelada ENSTGEG00000000097
chlorocebus_sabaeus ENSCSAG00000019155
piliocolobus_tephrosceles ENSPTEG00000032954
homo_sapiens ENSG00000237254
pongo_abelii ENSPPYG00000018103
bos_taurus ENSBTAG00000009558
bos_mutus ENSBMUG00000003538
bison_bison_bison ENSBBBG00000003703
ovis_aries ENSOARG00000016634
equus_asinus_asinus ENSEASG00005009299
erinaceus_europaeus ENSEEUG00000014451
sorex_araneus ENSSARG00000008162
canis_lupus_familiaris ENSCAFG00000029623
canis_lupus_dingo ENSCAFG00020020916
vulpes_vulpes ENSVVUG00000027630
neovison_vison ENSNVIG00000019743
mustela_putorius_furo ENSMPUG00000008498
ursus_americanus ENSUAMG00000012811
ursus_maritimus ENSUMAG00000012085
ailuropoda_melanoleuca ENSAMEG00000006348
sus_scrofa ENSSSCG00000034219
myotis_lucifugus ENSMLUG00000010749
oryctolagus_cuniculus ENSOCUG00000009348
dasypus_novemcinctus ENSDNOG00000049785
loxodonta_africana ENSLAFG00000032474
monodelphis_domestica ENSMODG00000000869
phascolarctos_cinereus ENSPCIG00000016535
anolis_carolinensis ENSACAG00000025426
pogona_vitticeps ENSPVIG00000015128
chrysemys_picta_bellii ENSCPBG00000012878
gopherus_agassizii ENSGAGG00000012419
crocodylus_porosus ENSCPRG00005001051
paramormyrops_kingsleyae ENSPKIG00000009269
paramormyrops_kingsleyae ENSPKIG00000020267
lepisosteus_oculatus ENSLOCG00000013383
