canis_lupus_familiaris ENSCAFG00000010841
vulpes_vulpes ENSVVUG00000030191
ailuropoda_melanoleuca ENSAMEG00000005954
panthera_pardus ENSPPRG00000024854
panthera_tigris_altaica ENSPTIG00000013280
pteropus_vampyrus ENSPVAG00000017663
equus_asinus_asinus ENSEASG00005006631
equus_caballus ENSECAG00000035911
ovis_aries ENSOARG00000019588
capra_hircus ENSCHIG00000017829
bos_taurus ENSBTAG00000005365
tursiops_truncatus ENSTTRG00000015231
sus_scrofa ENSSSCG00000000540
pan_paniscus ENSPPAG00000027602
pan_troglodytes ENSPTRG00000004799
homo_sapiens ENSG00000187950
gorilla_gorilla ENSGGOG00000008697
pongo_abelii ENSPPYG00000004391
nomascus_leucogenys ENSNLEG00000005656
piliocolobus_tephrosceles ENSPTEG00000028135
colobus_angolensis_palliatus ENSCANG00000039963
rhinopithecus_bieti ENSRBIG00000030098
rhinopithecus_roxellana ENSRROG00000040480
macaca_fascicularis ENSMFAG00000001329
macaca_mulatta ENSMMUG00000015813
macaca_nemestrina ENSMNEG00000038125
mandrillus_leucophaeus ENSMLEG00000041118
theropithecus_gelada ENSTGEG00000028001
cercocebus_atys ENSCATG00000031946
papio_anubis ENSPANG00000019707
chlorocebus_sabaeus ENSCSAG00000007478
saimiri_boliviensis_boliviensis ENSSBOG00000029631
cebus_capucinus_imitator ENSCCAG00000025632
callithrix_jacchus ENSCJAG00000047368
aotus_nancymaae ENSANAG00000026443
otolemur_garnettii ENSOGAG00000025129
dasypus_novemcinctus ENSDNOG00000015933
choloepus_hoffmanni ENSCHOG00000008260
tupaia_belangeri ENSTBEG00000011577
anas_platyrhynchos_platyrhynchos ENSAPLG00000022253
xenopus_tropicalis ENSXETG00000000325
anas_platyrhynchos_platyrhynchos ENSAPLG00000026708
coturnix_japonica ENSCJPG00005018606
melopsittacus_undulatus ENSMUNG00000004718
apteryx_owenii ENSAOWG00000011749
dromaius_novaehollandiae ENSDNVG00000008137
crocodylus_porosus ENSCPRG00005006398
gopherus_agassizii ENSGAGG00000022565
sarcophilus_harrisii ENSSHAG00000012012
ornithorhynchus_anatinus ENSOANG00000021404
danio_rerio ENSDARG00000102823
ciona_savignyi ENSCSAVG00000007656
ciona_intestinalis ENSCING00000024475
takifugu_rubripes ENSTRUG00000011469
tetraodon_nigroviridis ENSTNIG00000003455
mola_mola ENSMMOG00000005909
gasterosteus_aculeatus ENSGACG00000000658
seriola_dumerili ENSSDUG00000011566
seriola_lalandi_dorsalis ENSSLDG00000021785
amphiprion_ocellaris ENSAOCG00000002469
acanthochromis_polyacanthus ENSAPOG00000006127
stegastes_partitus ENSSPAG00000014669
fundulus_heteroclitus ENSFHEG00000011871
cyprinodon_variegatus ENSCVAG00000008433
kryptolebias_marmoratus ENSKMAG00000018864
oryzias_latipes_asm223467v1 ENSORLG00000018277
oryzias_latipes_asm223469v1 ENSORLG00015001843
oryzias_melastigma ENSOMEG00000020287
maylandia_zebra ENSMZEG00005018205
maylandia_zebra ENSMZEG00005014907
astatotilapia_calliptera ENSACLG00000005904
haplochromis_burtoni ENSHBUG00000008816
pundamilia_nyererei ENSPNYG00000001076
neolamprologus_brichardi ENSNBRG00000018322
oreochromis_niloticus ENSONIG00000007573
amphilophus_citrinellus ENSACIG00000004844
labrus_bergylta ENSLBEG00000012829
labrus_bergylta ENSLBEG00000014110
cynoglossus_semilaevis ENSCSEG00000003609
scophthalmus_maximus ENSSMAG00000011161
mastacembelus_armatus ENSMAMG00000020966
hippocampus_comes ENSHCOG00000006893
periophthalmus_magnuspinnatus ENSPMGG00000016726
gadus_morhua ENSGMOG00000001315
esox_lucius ENSELUG00000019962
ictalurus_punctatus ENSIPUG00000019912
danio_rerio ENSDARG00000016538
paramormyrops_kingsleyae ENSPKIG00000000992
lepisosteus_oculatus ENSLOCG00000015110
haplochromis_burtoni ENSHBUG00000017858
ciona_intestinalis ENSCING00000002180
ciona_savignyi ENSCSAVG00000003918
ciona_savignyi ENSCSAVG00000000345
ciona_savignyi ENSCSAVG00000000758
